,cramer_v,H,H_p,mut_info
Physical_Activity__Dementia.0,0.09581979379176565,39.40631681753687,3.4418176204386225e-10,0.004595545744644852
Physical_Activity__Dementia.1,0.09581979379176565,46.220921059960716,1.056428797915994e-11,0.004595545744644852
Physical_Activity,0.09581979379176565,,,0.004595545744644852
Nutrition_Diet__Dementia.0,0.02433090030145345,45.9326555674307,1.2238871716776002e-11,0.00029611860861972206
Nutrition_Diet__Dementia.1,0.02433090030145345,53.3132218323018,2.8438598020808556e-13,0.00029611860861972206
Nutrition_Diet,0.02433090030145345,,,0.00029611860861972206
Prescription__Dementia.0,1.0,276.0078775000196,5.566353209537726e-62,0.6925988587644561
Prescription__Dementia.1,1.0,282.28544007373665,2.3854276472569937e-63,0.6925988587644561
Prescription,1.0,,,0.6925988587644561
Chronic_Health_Conditions__Dementia.0,0.13796199186590158,11.280291227613633,0.0007833426708244331,0.009625819331445212
Chronic_Health_Conditions__Dementia.1,0.13796199186590158,15.133126846458643,0.00010018971485693055,0.009625819331445212
Chronic_Health_Conditions,0.13796199186590158,,,0.009625819331445212
Education_Level__Dementia.0,0.22802113057623977,202.18470600844364,6.967753273053096e-46,0.02662486030935106
Education_Level__Dementia.1,0.22802113057623977,209.25094833592064,2.0011931395586035e-47,0.02662486030935106
Education_Level,0.22802113057623977,,,0.02662486030935106
Smoking_Status__Dementia.0,0.2794381300181355,220.91144109723464,5.722382362724257e-50,0.053711256795555745
Smoking_Status__Dementia.1,0.2794381300181355,231.38889878236895,2.9679105035253208e-52,0.053711256795555745
Smoking_Status,0.2794381300181355,,,0.053711256795555745
Dominant_Hand__Dementia.0,0.04301390136699579,2.3888919372714685,0.12220021797749694,0.0009255586005907923
Dominant_Hand__Dementia.1,0.04301390136699579,0.5376638816419351,0.4634025053808417,0.0009255586005907923
Dominant_Hand,0.04301390136699579,,,0.0009255586005907923
Depression_Status__Dementia.0,0.6047000086461228,43.53531228670908,4.163776321455248e-11,0.23335480397023145
Depression_Status__Dementia.1,0.6047000086461228,33.78980261996376,6.1399862834950275e-09,0.23335480397023145
Depression_Status,0.6047000086461228,,,0.23335480397023145
Diabetic__Dementia.0,0.020540731603289262,0.026464779460009198,0.8707704020030147,0.00021097955917365185
Diabetic__Dementia.1,0.020540731603289262,0.42315789473667775,0.5153655073997747,0.00021097955917365185
Diabetic,0.020540731603289262,,,0.00021097955917365185
Medication_History__Dementia.0,0.023947433189334358,0.3249958752678673,0.5686206622033974,0.00028674381257826065
Medication_History__Dementia.1,0.023947433189334354,1.9117656738522835,0.16676725660379096,0.00028674381257826065
Medication_History,0.023947433189334354,,,0.00028674381257826065
Sleep_Quality__Dementia.0,0.022815477657390025,0.4246478873237787,0.5146269030410641,0.00026031905508988595
Sleep_Quality__Dementia.1,0.022815477657390025,2.14364713627379,0.14316118577676848,0.00026031905508988595
Sleep_Quality,0.022815477657390025,,,0.00026031905508988595
APOE_ε4__Dementia.0,0.48914286594547346,13.847684822916854,0.00019824082675757944,0.12992519259006158
APOE_ε4__Dementia.1,0.48914286594547346,20.454086724453063,6.107899541376625e-06,0.12992519259006158
APOE_ε4,0.48914286594547346,,,0.12992519259006158
Family_History__Dementia.0,0.05941724538056109,0.10582660582656472,0.7449464519066163,0.0017662185916828
Family_History__Dementia.1,0.05941724538056109,0.23805763916280367,0.6256125231703453,0.0017662185916828
Family_History,0.05941724538056109,,,0.0017662185916828
