,metric,trainset,holdout,5-fold,model,selection,embed_selector
0,acc,0.5165562913907285,0.5148514851485149,0.5148780487804878,dummy,none,none
1,auroc,0.5,0.5,0.5,dummy,none,none
2,sens,0.5,0.5,0.5,dummy,none,none
3,spec,0.0,0.0,0.0,dummy,none,none
4,ppv,0.5165562913907285,0.5148514851485149,0.5148780487804878,dummy,none,none
5,npv,,,,dummy,none,none
6,f1,0.3406113537117904,0.33986928104575165,0.33985545566719544,dummy,none,none
7,bal-acc,0.5,0.5,0.5,dummy,none,none
8,acc,0.4966887417218543,0.5346534653465347,0.5054878048780488,dummy,assoc,none
9,auroc,0.5,0.5,0.5,dummy,assoc,none
10,sens,0.49547769582016155,0.534831240188383,0.5084586466165414,dummy,assoc,none
11,spec,0.4589041095890411,0.5408163265306123,0.5826315789473684,dummy,assoc,none
12,ppv,0.5123456790123457,0.55,0.5236940836940838,dummy,assoc,none
13,npv,0.4785714285714286,0.5196078431372549,0.49297621375040723,dummy,assoc,none
14,f1,0.49527202357391037,0.534607843137255,0.49764991364127126,dummy,assoc,none
15,bal-acc,0.49547769582016155,0.534831240188383,0.5084586466165414,dummy,assoc,none
16,acc,0.5397350993377483,0.5445544554455446,0.4451219512195122,dummy,pred,none
17,auroc,0.5271777309448542,0.554945054945055,0.5495488721804511,dummy,pred,none
18,sens,0.53824200913242,0.5447409733124018,0.4458771929824561,dummy,pred,none
19,spec,0.4931506849315068,0.5510204081632653,0.44842105263157894,dummy,pred,none
20,ppv,0.5515151515151515,0.56,0.45476190476190476,dummy,pred,none
21,npv,0.5255474452554745,0.5294117647058824,0.43461890019165555,dummy,pred,none
22,f1,0.5379060577039507,0.5445098039215687,0.44278159107427406,dummy,pred,none
23,bal-acc,0.53824200913242,0.5447409733124018,0.4458771929824561,dummy,pred,none
24,acc,0.5165562913907285,0.4900990099009901,0.48451219512195126,dummy,embed_lgbm,lgbm
25,auroc,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
26,sens,0.5153670530382859,0.4903846153846154,0.48392230576441103,dummy,embed_lgbm,lgbm
27,spec,0.4794520547945205,0.5,0.4673684210526316,dummy,embed_lgbm,lgbm
28,ppv,0.5308641975308642,0.5050505050505051,0.4987063492063492,dummy,embed_lgbm,lgbm
29,npv,0.5,0.47572815533980584,0.46949043062200957,dummy,embed_lgbm,lgbm
30,f1,0.5151954963275718,0.49008651324657504,0.4803330088271764,dummy,embed_lgbm,lgbm
31,bal-acc,0.5153670530382859,0.4903846153846154,0.48392230576441103,dummy,embed_lgbm,lgbm
32,acc,0.4900662251655629,0.4900990099009901,0.534390243902439,dummy,embed_linear,linear
33,auroc,0.5233140147523709,0.5135400313971743,0.5586215538847117,dummy,embed_linear,linear
34,sens,0.4903846153846154,0.4912676609105181,0.534310776942356,dummy,embed_linear,linear
35,spec,0.5,0.5306122448979592,0.4905263157894736,dummy,embed_linear,linear
36,ppv,0.5067567567567568,0.5053763440860215,0.5350769230769231,dummy,embed_linear,linear
37,npv,0.474025974025974,0.47706422018348627,0.5384126984126985,dummy,embed_linear,linear
38,f1,0.4900438596491228,0.4897864096716447,0.5261137473197353,dummy,embed_linear,linear
39,bal-acc,0.4903846153846154,0.4912676609105181,0.534310776942356,dummy,embed_linear,linear
