,selection,embed_selector,model,params,metric,score
0,none,none,dummy,"{""strategy"": ""most_frequent""}",acc,0.5165573770491803
1,assoc,none,dummy,"{""strategy"": ""uniform""}",acc,0.5198907103825137
2,pred,none,dummy,"{""strategy"": ""stratified""}",acc,0.5231147540983606
3,embed,lgbm,dummy,"{""strategy"": ""uniform""}",acc,0.5165573770491804
4,embed,linear,dummy,"{""strategy"": ""stratified""}",acc,0.5392896174863389
5,wrap,none,dummy,"{""strategy"": ""most_frequent""}",acc,0.5165573770491803
6,none,none,knn,"{""n_neighbors"": 1, ""weights"": ""uniform"", ""metric"": ""correlation""}",acc,0.7815300546448087
7,assoc,none,knn,"{""n_neighbors"": 50, ""weights"": ""distance"", ""metric"": ""cosine""}",acc,0.7815300546448087
8,pred,none,knn,"{""n_neighbors"": 50, ""weights"": ""distance"", ""metric"": ""l2""}",acc,0.8608743169398908
9,embed,lgbm,knn,"{""n_neighbors"": 25, ""weights"": ""uniform"", ""metric"": ""cosine""}",acc,1.0
10,embed,linear,knn,"{""n_neighbors"": 25, ""weights"": ""distance"", ""metric"": ""l2""}",acc,0.9406557377049181
11,wrap,none,knn,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""cosine""}",acc,1.0
12,none,none,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 1.7546090894335187, ""reg_lambda"": 0.0020893660248809992, ""num_leaves"": 194, ""colsample_bytree"": 0.7829322931421969, ""subsample"": 0.5192271629969283, ""subsample_freq"": 1, ""min_child_samples"": 68}",acc,1.0
13,assoc,none,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 0.0006766942522247674, ""reg_lambda"": 0.1653909884979954, ""num_leaves"": 3, ""colsample_bytree"": 0.7547606283271238, ""subsample"": 0.8121101250634386, ""subsample_freq"": 4, ""min_child_samples"": 99}",acc,1.0
14,pred,none,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 1.0975221025502438e-08, ""reg_lambda"": 2.7781178179595822, ""num_leaves"": 143, ""colsample_bytree"": 0.560470329094745, ""subsample"": 0.6912310818877478, ""subsample_freq"": 3, ""min_child_samples"": 44}",acc,1.0
15,embed,lgbm,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 3.0090543513864616e-06, ""reg_lambda"": 0.024860328148665053, ""num_leaves"": 233, ""colsample_bytree"": 0.7313384601429247, ""subsample"": 0.47648438651056285, ""subsample_freq"": 6, ""min_child_samples"": 59}",acc,1.0
16,embed,linear,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 0.004078015349416211, ""reg_lambda"": 2.0586088747384614e-06, ""num_leaves"": 23, ""colsample_bytree"": 0.7608963959564596, ""subsample"": 0.6691120332908433, ""subsample_freq"": 6, ""min_child_samples"": 24}",acc,1.0
17,wrap,none,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 9.406229293260482e-07, ""reg_lambda"": 2.0184713991098207, ""num_leaves"": 76, ""colsample_bytree"": 0.5782423187566305, ""subsample"": 0.7527174087280855, ""subsample_freq"": 2, ""min_child_samples"": 88}",acc,1.0
18,none,none,lr,"{""l1_ratio"": 0.5495332930634884, ""C"": 5.777930077388345}",acc,1.0
19,assoc,none,lr,"{""l1_ratio"": 0.3872399817228341, ""C"": 0.12994025520027672}",acc,1.0
20,pred,none,lr,"{""l1_ratio"": 0.10016285668552574, ""C"": 2.2991034772823635}",acc,0.9933879781420764
21,embed,lgbm,lr,"{""l1_ratio"": 0.5003414960357846, ""C"": 0.2869854899174322}",acc,1.0
22,embed,linear,lr,"{""l1_ratio"": 0.8578289895927252, ""C"": 0.8149025852921375}",acc,1.0
23,wrap,none,lr,"{""l1_ratio"": 0.1743088994453051, ""C"": 0.007063867857926437}",acc,1.0
24,none,none,rf,"{""n_estimators"": 50, ""reg_alpha"": 0.0022558067368244066, ""reg_lambda"": 1.3031295987675708e-08, ""num_leaves"": 111, ""colsample_bytree"": 0.7404026154916106, ""subsample"": 0.6609318796856293, ""subsample_freq"": 1, ""min_child_samples"": 74, ""bagging_fraction"": 0.9209777153934803}",acc,1.0
25,assoc,none,rf,"{""n_estimators"": 50, ""reg_alpha"": 0.05379521288578271, ""reg_lambda"": 1.794440639383957e-07, ""num_leaves"": 16, ""colsample_bytree"": 0.7902567370597222, ""subsample"": 0.5244823233659412, ""subsample_freq"": 3, ""min_child_samples"": 92, ""bagging_fraction"": 0.8131026223156407}",acc,1.0
26,pred,none,rf,"{""n_estimators"": 50, ""reg_alpha"": 1.7008405167881156e-05, ""reg_lambda"": 0.0011896000384526764, ""num_leaves"": 256, ""colsample_bytree"": 0.5976297867917414, ""subsample"": 0.8732641057920807, ""subsample_freq"": 4, ""min_child_samples"": 81, ""bagging_fraction"": 0.6840489392449479}",acc,1.0
27,embed,lgbm,rf,"{""n_estimators"": 150, ""reg_alpha"": 0.004280609281666209, ""reg_lambda"": 0.016076986256031472, ""num_leaves"": 193, ""colsample_bytree"": 0.5806622111238285, ""subsample"": 0.7779109391351384, ""subsample_freq"": 7, ""min_child_samples"": 24, ""bagging_fraction"": 0.154690539373179}",acc,1.0
28,embed,linear,rf,"{""n_estimators"": 50, ""reg_alpha"": 0.3603252669566562, ""reg_lambda"": 0.031709870020247236, ""num_leaves"": 4, ""colsample_bytree"": 0.9728879131958956, ""subsample"": 0.6658458823580045, ""subsample_freq"": 2, ""min_child_samples"": 66, ""bagging_fraction"": 0.9085693720126198}",acc,1.0
29,wrap,none,rf,"{""n_estimators"": 150, ""reg_alpha"": 5.833424356390574, ""reg_lambda"": 0.017081931638987965, ""num_leaves"": 4, ""colsample_bytree"": 0.47094997518963916, ""subsample"": 0.5475720986546275, ""subsample_freq"": 1, ""min_child_samples"": 59, ""bagging_fraction"": 0.598839084666541}",acc,1.0
30,none,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 9.178404854836895e-05, ""early_stopping"": false}",acc,1.0
31,assoc,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 7.062830716770329e-05, ""early_stopping"": false}",acc,1.0
32,pred,none,sgd,"{""loss"": ""log_loss"", ""eta0"": 0.0008263281506351901, ""early_stopping"": false}",acc,0.9734972677595628
33,embed,lgbm,sgd,"{""loss"": ""log_loss"", ""eta0"": 0.03195578146660964, ""early_stopping"": false}",acc,1.0
34,embed,linear,sgd,"{""loss"": ""modified_huber"", ""eta0"": 0.061796888348860574, ""early_stopping"": false}",acc,1.0
35,wrap,none,sgd,"{""loss"": ""modified_huber"", ""eta0"": 1.5724876844029694, ""early_stopping"": false}",acc,1.0
