,metric,trainset,holdout,5-fold,model,selection,embed_selector
0,acc,0.5277777777777778,0.47619047619047616,0.487764705882353,dummy,none,none
1,auroc,0.5397225725094577,0.5002522068095838,0.5520641025641025,dummy,none,none
2,sens,0.5271752837326608,0.4756620428751577,0.48732051282051286,dummy,none,none
3,spec,0.5081967213114754,0.45901639344262296,0.4823333333333334,dummy,none,none
4,ppv,0.5419847328244275,0.49230769230769234,0.5094498834498834,dummy,none,none
5,npv,0.512396694214876,0.45901639344262296,0.4631405835543766,dummy,none,none
6,f1,0.5271746842628069,0.4756620428751577,0.4854883622446648,dummy,none,none
7,bal-acc,0.5271752837326608,0.4756620428751577,0.48732051282051286,dummy,none,none
8,acc,0.46825396825396826,0.5198412698412699,0.5116078431372549,dummy,assoc,none
9,auroc,0.5,0.5,0.5,dummy,assoc,none
10,sens,0.4669609079445145,0.5189785624211853,0.5099230769230769,dummy,assoc,none
11,spec,0.4262295081967213,0.4918032786885246,0.466,dummy,assoc,none
12,ppv,0.4852941176470588,0.5338345864661654,0.5253469350243545,dummy,assoc,none
13,npv,0.4482758620689655,0.5042016806722689,0.49517620137299767,dummy,assoc,none
14,f1,0.4666076957098629,0.5189246327879715,0.508918802778349,dummy,assoc,none
15,bal-acc,0.4669609079445145,0.5189785624211853,0.5099230769230769,dummy,assoc,none
16,acc,0.4801587301587302,0.5277777777777778,0.5192941176470588,dummy,pred,none
17,auroc,0.5404791929382093,0.5240857503152585,0.5248076923076923,dummy,pred,none
18,sens,0.4792559899117276,0.5261664564943254,0.5181025641025641,dummy,pred,none
19,spec,0.45081967213114754,0.47540983606557374,0.4746666666666666,dummy,pred,none
20,ppv,0.49624060150375937,0.539568345323741,0.5310639552018862,dummy,pred,none
21,npv,0.46218487394957986,0.5132743362831859,0.5062911725955204,dummy,pred,none
22,f1,0.4791663379770601,0.525618919560231,0.5175350398965413,dummy,pred,none
23,bal-acc,0.4792559899117276,0.5261664564943254,0.5181025641025641,dummy,pred,none
24,acc,0.48412698412698413,0.4087301587301587,0.4647843137254902,dummy,embed_lgbm,lgbm
25,auroc,0.512547288776797,0.5120428751576293,0.5563717948717949,dummy,embed_lgbm,lgbm
26,sens,0.48436317780580074,0.4080075662042875,0.4638333333333334,dummy,embed_lgbm,lgbm
27,spec,0.4918032786885246,0.38524590163934425,0.42766666666666664,dummy,embed_lgbm,lgbm
28,ppv,0.5,0.42748091603053434,0.48672513470956186,dummy,embed_lgbm,lgbm
29,npv,0.46875,0.3884297520661157,0.44040595560046364,dummy,embed_lgbm,lgbm
30,f1,0.4840944881889764,0.4079750248332624,0.46147086598506687,dummy,embed_lgbm,lgbm
31,bal-acc,0.48436317780580074,0.4080075662042875,0.4638333333333334,dummy,embed_lgbm,lgbm
32,acc,0.5158730158730159,0.5158730158730159,0.515921568627451,dummy,embed_linear,linear
33,auroc,0.5,0.5,0.5,dummy,embed_linear,linear
34,sens,0.5,0.5,0.5,dummy,embed_linear,linear
35,spec,0.0,0.0,0.0,dummy,embed_linear,linear
36,ppv,0.5158730158730159,0.5158730158730159,0.515921568627451,dummy,embed_linear,linear
37,npv,,,,dummy,embed_linear,linear
38,f1,0.3403141361256545,0.3403141361256545,0.34032809295967187,dummy,embed_linear,linear
39,bal-acc,0.5,0.5,0.5,dummy,embed_linear,linear
40,acc,0.9841269841269841,0.9722222222222222,0.9321568627450981,gandalf,none,none
41,auroc,1.0,1.0,1.0,gandalf,none,none
42,sens,0.9846153846153847,0.9730769230769231,0.9346153846153846,gandalf,none,none
43,spec,1.0,1.0,1.0,gandalf,none,none
44,ppv,1.0,1.0,1.0,gandalf,none,none
45,npv,0.9682539682539683,0.9457364341085271,0.8918788971527309,gandalf,none,none
46,f1,0.9841229838709677,0.9722217847975687,0.9310306828974861,gandalf,none,none
47,bal-acc,0.9846153846153847,0.9730769230769231,0.9346153846153846,gandalf,none,none
48,acc,0.9603174603174603,0.9246031746031746,0.8375686274509804,gandalf,assoc,none
49,auroc,0.9998738965952081,0.999936948297604,0.9435641025641026,gandalf,assoc,none
50,sens,0.9615384615384616,0.926923076923077,0.8331153846153846,gandalf,assoc,none
