,cramer_v,H,H_p,mut_info
APOE_ε4__Dementia.0,0.0,13.837994861136112,0.00019926573632433675,0.13529341000450482
APOE_ε4__Dementia.1,0.0,19.53484948967215,9.87810439701864e-06,0.13529341000450482
APOE_ε4,0.0,,,0.13529341000450482
Chronic_Health_Conditions__Dementia.0,0.0,11.496232015729152,0.0006973741822163247,0.011944924875015944
Chronic_Health_Conditions__Dementia.1,0.0,14.851637119312034,0.00011630707466395932,0.011944924875015944
Chronic_Health_Conditions,0.0,,,0.011944924875015944
Depression_Status__Dementia.0,0.0,31.912788010827438,1.612520571874972e-08,0.25072429249936096
Depression_Status__Dementia.1,0.0,24.585115655380655,7.109879149872864e-07,0.25072429249936096
Depression_Status,0.0,,,0.25072429249936096
Diabetic__Dementia.0,0.0,0.19804709032225873,0.6563018176535651,2.9558059817080817e-05
Diabetic__Dementia.1,0.0,0.07131492304550788,0.7894317877146189,2.9558059817080817e-05
Diabetic,0.0,,,2.9558059817080817e-05
Dominant_Hand__Dementia.0,0.0,0.07142293674969305,0.7892761421319555,0.0014532575889787958
Dominant_Hand__Dementia.1,0.0,0.9585479171589804,0.3275530003575648,0.0014532575889787958
Dominant_Hand,0.0,,,0.0014532575889787958
Education_Level__Dementia.0,0.0,163.53461162441832,1.911741888184606e-37,0.024101318351707146
Education_Level__Dementia.1,0.0,169.5284391644371,9.379094151351799e-39,0.024101318351707146
Education_Level,0.0,,,0.024101318351707146
Family_History__Dementia.0,0.0,0.2851653543307705,0.5933354742991901,0.008159887341261052
Family_History__Dementia.1,0.0,0.03170101468474085,0.8586854461574748,0.008159887341261052
Family_History,0.0,,,0.008159887341261052
Medication_History__Dementia.0,0.0,0.03173301369016359,0.8586148935369075,0.0001034627215716899
Medication_History__Dementia.1,0.0,0.7921259842521066,0.37345804778000247,0.0001034627215716899
Medication_History,0.0,,,0.0001034627215716899
Nutrition_Diet__Dementia.0,0.0,55.54118600692747,9.15212680651184e-14,0.005387893504086166
Nutrition_Diet__Dementia.1,0.0,62.09045965408784,3.2803680953251586e-15,0.005387893504086166
Nutrition_Diet,0.0,,,0.005387893504086166
Physical_Activity__Dementia.0,0.0,36.625727280828194,1.43130167108007e-09,0.0011555795587430695
Physical_Activity__Dementia.1,0.0,42.409079190594596,7.404551333295078e-11,0.0011555795587430695
Physical_Activity,0.0,,,0.0011555795587430695
Sleep_Quality__Dementia.0,0.0,0.1985474066473801,0.6558959010703003,0.0008856916824505623
Sleep_Quality__Dementia.1,0.0,1.3391357771862862,0.24718643314794636,0.0008856916824505623
Sleep_Quality,0.0,,,0.0008856916824505623
Smoking_Status__Dementia.0,0.0,196.84756085404905,1.0181022782149671e-44,0.05900758081188806
Smoking_Status__Dementia.1,0.0,204.8352928104259,1.839602733246823e-46,0.05900758081188806
Smoking_Status,0.0,,,0.05900758081188806
