,t,t_p,U,U_p,W,W_p,cohen_d,AUROC,corr,corr_p,mut_info
AlcoholLevel__Dementia.0,-0.41149791868540997,0.6810616073712075,7703.0,0.6952842850013987,0.3915951558368622,0.695357367709548,0.05187552584244741,0.514312736443884,0.026019369506956068,0.681027975797742,0.0
AlcoholLevel__Dementia.1,0.41149791868540997,0.6810616073712075,8157.0,0.6952842850013987,-0.3915951558368622,0.695357367709548,-0.05187552584244741,0.514312736443884,-0.026019369506956054,0.681027975797742,0.0
HeartRate__Dementia.0,-0.5324707769969182,0.5948729415125563,7627.5,0.6013233732461407,0.5226001244292503,0.6012525539283521,0.067001450072859,0.5190731399747793,0.03359852803669788,0.5955169649972178,0.0
HeartRate__Dementia.1,0.5324707769969182,0.5948729415125563,8232.5,0.6013233732461407,-0.5226001244292503,0.6012525539283521,-0.067001450072859,0.5190731399747792,-0.03359852803669787,0.5955169649972178,0.0
BloodOxygenLevel__Dementia.0,-0.8159306350822422,0.4153199941235072,7526.0,0.4853109771679207,0.6964829789082247,0.48612641315295413,0.10285937346717484,0.5254728877679697,0.0515403770883607,0.4152715287418558,0.011609289031385917
BloodOxygenLevel__Dementia.1,0.8159306350822422,0.4153199941235072,8334.0,0.4853109771679207,-0.6964829789082247,0.48612641315295413,-0.10285937346717484,0.5254728877679697,-0.05154037708836069,0.4152715287418558,0.011609289031385917
BodyTemperature__Dementia.0,-0.4001630804313473,0.6893781633192484,7692.0,0.6812802640360676,0.4109296535030611,0.6811241178788291,0.05035698870442632,0.5150063051702396,0.02525820533377423,0.6898697715397453,0.0
BodyTemperature__Dementia.1,0.4001630804313473,0.6893781633192484,8168.0,0.6812802640360676,-0.4109296535030611,0.6811241178788291,-0.05035698870442632,0.5150063051702396,-0.025258205333774215,0.6898697715397453,0.0
Weight__Dementia.0,-0.7062724712961174,0.48069117069729594,7528.0,0.4874768949215199,0.6893559321211777,0.4905993079938904,0.08927261432200545,0.5253467843631778,0.04474704292576599,0.4794670373729018,0.0
Weight__Dementia.1,0.7062724712961174,0.48069117069729594,8332.0,0.4874768949215199,-0.6893559321211777,0.4905993079938904,-0.08927261432200545,0.5253467843631778,-0.044747042925765985,0.4794670373729018,0.0
Age__Dementia.0,-0.07645943934148337,0.939114895600811,7852.5,0.8940003033561286,0.13380779247755983,0.8935545651075437,0.009634012440774803,0.5048865069356873,0.004833741772237846,0.9391388779307138,0.0
Age__Dementia.1,0.07645943934148337,0.939114895600811,8007.5,0.8940003033561286,-0.13380779247755983,0.8935545651075437,-0.009634012440774803,0.5048865069356874,-0.004833741772237825,0.9391388779307163,0.0
