,metric,trainset,holdout,5-fold,model,selection,embed_selector
0,acc,0.5158730158730159,0.5158730158730159,0.515921568627451,dummy,none,none
1,auroc,0.5,0.5,0.5,dummy,none,none
2,sens,0.5,0.5,0.5,dummy,none,none
3,spec,0.0,0.0,0.0,dummy,none,none
4,ppv,0.5158730158730159,0.5158730158730159,0.515921568627451,dummy,none,none
5,npv,,,,dummy,none,none
6,f1,0.3403141361256545,0.3403141361256545,0.34032809295967187,dummy,none,none
7,bal-acc,0.5,0.5,0.5,dummy,none,none
8,acc,0.5158730158730159,0.5158730158730159,0.515921568627451,dummy,assoc,none
9,auroc,0.5,0.5,0.5,dummy,assoc,none
10,sens,0.5,0.5,0.5,dummy,assoc,none
11,spec,0.0,0.0,0.0,dummy,assoc,none
12,ppv,0.5158730158730159,0.5158730158730159,0.515921568627451,dummy,assoc,none
13,npv,,,,dummy,assoc,none
14,f1,0.3403141361256545,0.3403141361256545,0.34032809295967187,dummy,assoc,none
15,bal-acc,0.5,0.5,0.5,dummy,assoc,none
16,acc,0.5158730158730159,0.5158730158730159,0.515921568627451,dummy,pred,none
17,auroc,0.5,0.5,0.5,dummy,pred,none
18,sens,0.5,0.5,0.5,dummy,pred,none
19,spec,0.0,0.0,0.0,dummy,pred,none
20,ppv,0.5158730158730159,0.5158730158730159,0.515921568627451,dummy,pred,none
21,npv,,,,dummy,pred,none
22,f1,0.3403141361256545,0.3403141361256545,0.34032809295967187,dummy,pred,none
23,bal-acc,0.5,0.5,0.5,dummy,pred,none
24,acc,0.5158730158730159,0.5158730158730159,0.515921568627451,dummy,embed_lgbm,lgbm
25,auroc,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
26,sens,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
27,spec,0.0,0.0,0.0,dummy,embed_lgbm,lgbm
28,ppv,0.5158730158730159,0.5158730158730159,0.515921568627451,dummy,embed_lgbm,lgbm
29,npv,,,,dummy,embed_lgbm,lgbm
30,f1,0.3403141361256545,0.3403141361256545,0.34032809295967187,dummy,embed_lgbm,lgbm
31,bal-acc,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
32,acc,0.5158730158730159,0.5158730158730159,0.515921568627451,dummy,embed_linear,linear
33,auroc,0.5,0.5,0.5,dummy,embed_linear,linear
34,sens,0.5,0.5,0.5,dummy,embed_linear,linear
35,spec,0.0,0.0,0.0,dummy,embed_linear,linear
36,ppv,0.5158730158730159,0.5158730158730159,0.515921568627451,dummy,embed_linear,linear
37,npv,,,,dummy,embed_linear,linear
38,f1,0.3403141361256545,0.3403141361256545,0.34032809295967187,dummy,embed_linear,linear
39,bal-acc,0.5,0.5,0.5,dummy,embed_linear,linear
40,acc,0.5476190476190477,0.5515873015873016,0.49607843137254903,dummy,wrap,none
41,auroc,0.5084489281210594,0.5443253467843632,0.546602564102564,dummy,wrap,none
42,sens,0.548171500630517,0.5522698612862547,0.4948846153846153,dummy,wrap,none
43,spec,0.5655737704918032,0.5737704918032787,0.45899999999999996,dummy,wrap,none
44,ppv,0.5655737704918032,0.5702479338842975,0.5150663129973475,dummy,wrap,none
45,npv,0.5307692307692308,0.5343511450381679,0.47344522144522144,dummy,wrap,none
46,f1,0.5476190476190477,0.5515802403036076,0.49359339450703654,dummy,wrap,none
47,bal-acc,0.548171500630517,0.5522698612862547,0.4948846153846153,dummy,wrap,none
48,acc,0.6706349206349206,0.626984126984127,0.5633725490196079,gandalf,none,none
49,auroc,0.8793820933165196,0.7940731399747792,0.6367179487179487,gandalf,none,none
50,sens,0.6603404791929383,0.6157629255989912,0.5601410256410256,gandalf,none,none
51,spec,0.3360655737704918,0.26229508196721313,0.43566666666666676,gandalf,none,none
52,ppv,0.6124401913875598,0.5833333333333334,0.5189903381642512,gandalf,none,none
53,npv,0.9534883720930233,0.8888888888888888,0.6986283643892339,gandalf,none,none
54,f1,0.6260659694288013,0.5666934952806029,0.48314837830365737,gandalf,none,none
55,bal-acc,0.6603404791929383,0.6157629255989912,0.5601410256410256,gandalf,none,none
56,acc,0.5714285714285714,0.5634920634920635,0.6232156862745099,gandalf,assoc,none
57,auroc,0.6818411097099623,0.6390290037831021,0.7148589743589744,gandalf,assoc,none
58,sens,0.5775535939470365,0.5708701134930643,0.620474358974359,gandalf,assoc,none
59,spec,0.7704918032786885,0.8032786885245902,0.5563333333333333,gandalf,assoc,none
60,ppv,0.6410256410256411,0.6470588235294118,0.6688652392735107,gandalf,assoc,none
61,npv,0.5402298850574713,0.532608695652174,0.6518395471883844,gandalf,assoc,none
62,f1,0.557952182952183,0.5424836601307189,0.5959639012100977,gandalf,assoc,none
63,bal-acc,0.5775535939470365,0.5708701134930643,0.620474358974359,gandalf,assoc,none
64,acc,0.7857142857142857,0.753968253968254,0.7340392156862745,gandalf,pred,none
65,auroc,0.8936317780580075,0.830390920554855,0.8085897435897437,gandalf,pred,none
66,sens,0.7880201765447667,0.7562421185372006,0.7329615384615384,gandalf,pred,none
67,spec,0.860655737704918,0.8278688524590164,0.6890000000000001,gandalf,pred,none
68,ppv,0.8454545454545455,0.8090909090909091,0.7428109914791022,gandalf,pred,none
69,npv,0.7394366197183099,0.7112676056338029,0.7622678669807057,gandalf,pred,none
70,f1,0.7852272727272727,0.7534090909090909,0.7275302494549741,gandalf,pred,none
71,bal-acc,0.7880201765447667,0.7562421185372006,0.7329615384615384,gandalf,pred,none
72,acc,0.6666666666666666,0.626984126984127,0.5432156862745099,gandalf,embed_lgbm,lgbm
73,auroc,0.7389659520807061,0.6593947036569987,0.6229102564102564,gandalf,embed_lgbm,lgbm
74,sens,0.6635561160151324,0.6248423707440101,0.5373974358974358,gandalf,embed_lgbm,lgbm
75,spec,0.5655737704918032,0.5573770491803278,0.3363333333333333,gandalf,embed_lgbm,lgbm
76,ppv,0.6513157894736842,0.625,0.566722508358182,gandalf,embed_lgbm,lgbm
77,npv,0.69,0.6296296296296297,0.5290664077849433,gandalf,embed_lgbm,lgbm
78,f1,0.6618746405980449,0.624119327197715,0.46899218918802765,gandalf,embed_lgbm,lgbm
79,bal-acc,0.6635561160151324,0.6248423707440101,0.5373974358974358,gandalf,embed_lgbm,lgbm
80,acc,0.5793650793650794,0.5992063492063492,0.5909019607843138,gandalf,embed_linear,linear
81,auroc,0.8758511979823456,0.8237704918032788,0.7266794871794872,gandalf,embed_linear,linear
82,sens,0.5658259773013872,0.5860655737704918,0.5875128205128206,gandalf,embed_linear,linear
83,spec,0.13934426229508196,0.1721311475409836,0.46733333333333327,gandalf,embed_linear,linear
84,ppv,0.5512820512820513,0.5627705627705628,0.6434343434343435,gandalf,embed_linear,linear
85,npv,0.9444444444444444,1.0,0.6238095238095237,gandalf,embed_linear,linear
86,f1,0.47582417582417585,0.5069639501772466,0.5431204871478095,gandalf,embed_linear,linear
87,bal-acc,0.5658259773013872,0.5860655737704918,0.5875128205128206,gandalf,embed_linear,linear
88,acc,0.6587301587301587,0.6031746031746031,0.5516862745098039,gandalf,wrap,none
89,auroc,0.7395334174022699,0.6561790668348046,0.7575384615384616,gandalf,wrap,none
90,sens,0.6583858764186633,0.6020176544766709,0.5563076923076923,gandalf,wrap,none
91,spec,0.6475409836065574,0.5655737704918032,0.728,gandalf,wrap,none
92,ppv,0.6692307692307692,0.6102941176470589,0.7095652173913044,gandalf,wrap,none
93,npv,0.6475409836065574,0.5948275862068966,0.535406162464986,gandalf,wrap,none
94,f1,0.6583858764186633,0.6019460415745246,0.44715116236963315,gandalf,wrap,none
95,bal-acc,0.6583858764186633,0.6020176544766709,0.5563076923076923,gandalf,wrap,none
96,acc,1.0,0.4880952380952381,0.484078431372549,knn,none,none
97,auroc,1.0,0.5504413619167716,0.5904358974358975,knn,none,none
98,sens,1.0,0.487452711223203,0.4817564102564103,knn,none,none
99,spec,1.0,0.4672131147540984,0.4096666666666667,knn,none,none
100,ppv,1.0,0.5038167938931297,0.5076129330439676,knn,none,none
101,npv,1.0,0.47107438016528924,0.45008843375406843,knn,none,none
102,f1,1.0,0.4874414644529587,0.4769174559259376,knn,none,none
103,bal-acc,1.0,0.487452711223203,0.4817564102564103,knn,none,none
104,acc,0.5873015873015873,0.5238095238095238,0.5118431372549019,knn,assoc,none
105,auroc,0.6083543505674653,0.514281210592686,0.5719038461538462,knn,assoc,none
106,sens,0.5825977301387137,0.5182849936948297,0.5031410256410256,knn,assoc,none
107,spec,0.4344262295081967,0.3442622950819672,0.22166666666666668,knn,assoc,none
108,ppv,0.5792682926829268,0.5294117647058824,0.5187070164977141,knn,assoc,none
109,npv,0.6022727272727273,0.5121951219512195,0.47727272727272724,knn,assoc,none
110,f1,0.5755102040816327,0.5058823529411764,0.4625858488189632,knn,assoc,none
111,bal-acc,0.5825977301387137,0.5182849936948297,0.5031410256410256,knn,assoc,none
112,acc,0.5515873015873016,0.49603174603174605,0.4519215686274509,knn,pred,none
113,auroc,0.5917087011349306,0.5067780580075663,0.5460320512820512,knn,pred,none
114,sens,0.5467213114754098,0.49312736443883987,0.44529487179487176,knn,pred,none
115,spec,0.39344262295081966,0.4016393442622951,0.21366666666666667,knn,pred,none
116,ppv,0.5515151515151515,0.5100671140939598,0.4716537516537517,knn,pred,none
117,npv,0.5517241379310345,0.47572815533980584,0.42779788838612365,knn,pred,none
118,f1,0.5381396480415214,0.490179211469534,0.4136282848051316,knn,pred,none
119,bal-acc,0.5467213114754098,0.49312736443883987,0.44529487179487176,knn,pred,none
120,acc,0.5793650793650794,0.5119047619047619,0.503921568627451,knn,embed_lgbm,lgbm
121,auroc,0.6063366960907944,0.5168348045397225,0.5705833333333332,knn,embed_lgbm,lgbm
122,sens,0.5746532156368221,0.5067465321563682,0.4957692307692308,knn,embed_lgbm,lgbm
123,spec,0.4262295081967213,0.3442622950819672,0.22999999999999998,knn,embed_lgbm,lgbm
124,ppv,0.573170731707317,0.5209580838323353,0.5135964912280702,knn,embed_lgbm,lgbm
125,npv,0.5909090909090909,0.49411764705882355,0.4665656565656565,knn,embed_lgbm,lgbm
126,f1,0.5673469387755102,0.4958278436539306,0.4596884134161135,knn,embed_lgbm,lgbm
127,bal-acc,0.5746532156368221,0.5067465321563682,0.4957692307692308,knn,embed_lgbm,lgbm
128,acc,1.0,0.4801587301587302,0.5274509803921569,knn,embed_linear,linear
129,auroc,1.0,0.5183795712484237,0.5862820512820512,knn,embed_linear,linear
130,sens,1.0,0.47875157629255993,0.5270769230769231,knn,embed_linear,linear
131,spec,1.0,0.4344262295081967,0.508,knn,embed_linear,linear
132,ppv,1.0,0.49635036496350365,0.5476506252368321,knn,embed_linear,linear
133,npv,1.0,0.4608695652173913,0.506556948798328,knn,embed_linear,linear
134,f1,1.0,0.47831033992319727,0.525423938284466,knn,embed_linear,linear
135,bal-acc,1.0,0.47875157629255993,0.5270769230769231,knn,embed_linear,linear
136,acc,0.5833333333333334,0.5436507936507936,0.4365490196078431,knn,wrap,none
137,auroc,0.6926544766708701,0.5641551071878941,0.5448974358974359,knn,wrap,none
138,sens,0.5734552332912989,0.532219419924338,0.4276538461538461,knn,wrap,none
139,spec,0.26229508196721313,0.1721311475409836,0.163,knn,wrap,none
140,ppv,0.5609756097560976,0.5345622119815668,0.4684116784116784,knn,wrap,none
141,npv,0.6808510638297872,0.6,0.31224192474192475,knn,wrap,none
142,f1,0.5326326945155877,0.4680519099102406,0.38476574126314234,knn,wrap,none
143,bal-acc,0.5734552332912989,0.532219419924338,0.4276538461538461,knn,wrap,none
144,acc,0.9007936507936508,0.7738095238095238,0.7460392156862745,lgbm,none,none
145,auroc,0.9727616645649433,0.8662042875157628,0.8310512820512821,lgbm,none,none
146,sens,0.8990542244640606,0.7719419924337958,0.7436794871794872,lgbm,none,none
147,spec,0.8442622950819673,0.7131147540983607,0.6796666666666666,lgbm,none,none
148,ppv,0.8671328671328671,0.7552447552447552,0.7298123841305154,lgbm,none,none
149,npv,0.944954128440367,0.7981651376146789,0.7719774961880225,lgbm,none,none
150,f1,0.9000999000999002,0.7722277722277722,0.743536669468457,lgbm,none,none
151,bal-acc,0.8990542244640606,0.7719419924337958,0.7436794871794872,lgbm,none,none
152,acc,1.0,0.7698412698412699,0.7181176470588235,lgbm,assoc,none
153,auroc,1.0,0.8612862547288777,0.7763974358974359,lgbm,assoc,none
154,sens,1.0,0.7688524590163934,0.716448717948718,lgbm,assoc,none
155,spec,1.0,0.7377049180327869,0.6636666666666667,lgbm,assoc,none
156,ppv,1.0,0.7647058823529411,0.709350981075119,lgbm,assoc,none
157,npv,1.0,0.7758620689655172,0.7419467787114845,lgbm,assoc,none
158,f1,1.0,0.7691287041132242,0.7153075714805516,lgbm,assoc,none
159,bal-acc,1.0,0.7688524590163934,0.716448717948718,lgbm,assoc,none
160,acc,0.9484126984126984,0.75,0.7181960784313727,lgbm,pred,none
161,auroc,0.9935056746532156,0.8561790668348046,0.8135000000000001,lgbm,pred,none
162,sens,0.9472257250945776,0.7476040353089533,0.7158076923076923,lgbm,pred,none
163,spec,0.9098360655737705,0.6721311475409836,0.647,lgbm,pred,none
164,ppv,0.920863309352518,0.7278911564625851,0.7048291826309068,lgbm,pred,none
165,npv,0.9823008849557522,0.780952380952381,0.7458316193610312,lgbm,pred,none
166,f1,0.9481768567586807,0.7475150686238649,0.7144832865675008,lgbm,pred,none
167,bal-acc,0.9472257250945776,0.7476040353089533,0.7158076923076923,lgbm,pred,none
168,acc,0.7261904761904762,0.6825396825396826,0.6626666666666667,lgbm,embed_lgbm,lgbm
169,auroc,0.8224148802017655,0.7024905422446406,0.6426666666666667,lgbm,embed_lgbm,lgbm
170,sens,0.732093316519546,0.6887767969735183,0.6673461538461538,lgbm,embed_lgbm,lgbm
171,spec,0.9180327868852459,0.8852459016393442,0.827,lgbm,embed_lgbm,lgbm
172,ppv,0.8765432098765432,0.8205128205128205,0.7864769389537191,lgbm,embed_lgbm,lgbm
173,npv,0.6549707602339181,0.6206896551724138,0.6113335996537834,lgbm,embed_lgbm,lgbm
174,f1,0.7187454507222231,0.6725571725571726,0.6524317058781015,lgbm,embed_lgbm,lgbm
175,bal-acc,0.732093316519546,0.6887767969735183,0.6673461538461538,lgbm,embed_lgbm,lgbm
176,acc,1.0,0.7222222222222222,0.7024313725490196,lgbm,embed_linear,linear
177,auroc,1.0,0.8419924337957125,0.7877051282051283,lgbm,embed_linear,linear
178,sens,1.0,0.721437578814628,0.7015384615384616,lgbm,embed_linear,linear
179,spec,1.0,0.6967213114754098,0.6799999999999999,lgbm,embed_linear,linear
180,ppv,1.0,0.7238805970149254,0.7067272517587361,lgbm,embed_linear,linear
181,npv,1.0,0.7203389830508474,0.7024607244607244,lgbm,embed_linear,linear
182,f1,1.0,0.7215909090909092,0.7010335779999646,lgbm,embed_linear,linear
183,bal-acc,1.0,0.721437578814628,0.7015384615384616,lgbm,embed_linear,linear
184,acc,0.7857142857142857,0.7579365079365079,0.7577254901960785,lgbm,wrap,none
185,auroc,0.7786885245901639,0.75,0.7467435897435898,lgbm,wrap,none
186,sens,0.7786885245901639,0.75,0.7495,lgbm,wrap,none
187,spec,0.5573770491803278,0.5,0.499,lgbm,wrap,none
188,ppv,0.7065217391304348,0.680628272251309,0.6820802005012531,lgbm,wrap,none
189,npv,1.0,1.0,1.0,lgbm,wrap,none
190,f1,0.7719074756956085,0.7383177570093458,0.736544764715467,lgbm,wrap,none
191,bal-acc,0.7786885245901639,0.75,0.7495,lgbm,wrap,none
192,acc,0.8412698412698413,0.7658730158730159,0.7181176470588235,lr,none,none
193,auroc,0.947982345523329,0.8669609079445144,0.8394743589743591,lr,none,none
194,sens,0.8398486759142496,0.764249684741488,0.7153205128205128,lr,none,none
195,spec,0.7950819672131147,0.7131147540983607,0.6383333333333333,lr,none,none
196,ppv,0.8214285714285714,0.75177304964539,0.7025783410138249,lr,none,none
197,npv,0.8660714285714286,0.7837837837837838,0.7576296296296297,lr,none,none
198,f1,0.8404558404558404,0.7645344693790286,0.7132377326488353,lr,none,none
199,bal-acc,0.8398486759142496,0.764249684741488,0.7153205128205128,lr,none,none
200,acc,0.8253968253968254,0.7579365079365079,0.7421960784313727,lr,assoc,none
201,auroc,0.9386506935687264,0.8671500630517024,0.844474358974359,lr,assoc,none
202,sens,0.8234552332912988,0.755548549810845,0.7393717948717949,lr,assoc,none
203,spec,0.7622950819672131,0.680327868852459,0.6556666666666666,lr,assoc,none
204,ppv,0.7986111111111112,0.7346938775510204,0.718541110024981,lr,assoc,none
205,npv,0.8611111111111112,0.7904761904761904,0.7889411764705883,lr,assoc,none
206,f1,0.8240558552840368,0.7555304632707263,0.7383212812788644,lr,assoc,none
207,bal-acc,0.8234552332912988,0.755548549810845,0.7393717948717949,lr,assoc,none
208,acc,0.8174603174603174,0.7738095238095238,0.7142745098039216,lr,pred,none
209,auroc,0.9353720050441362,0.8589533417402271,0.8183974358974359,lr,pred,none
210,sens,0.8155107187894073,0.7714375788146279,0.710525641025641,lr,pred,none
211,spec,0.7540983606557377,0.6967213114754098,0.6056666666666667,lr,pred,none
212,ppv,0.7916666666666666,0.7482993197278912,0.6933058058058058,lr,pred,none
213,npv,0.8518518518518519,0.8095238095238095,0.7568043068043068,lr,pred,none
214,f1,0.8160583941605839,0.7715612525644492,0.7068765325593785,lr,pred,none
215,bal-acc,0.8155107187894073,0.7714375788146279,0.710525641025641,lr,pred,none
216,acc,0.7261904761904762,0.6825396825396826,0.6309803921568629,lr,embed_lgbm,lgbm
217,auroc,0.7620428751576293,0.694577553593947,0.6188717948717949,lr,embed_lgbm,lgbm
218,sens,0.732093316519546,0.6887767969735183,0.6346794871794871,lr,embed_lgbm,lgbm
219,spec,0.9180327868852459,0.8852459016393442,0.7616666666666666,lr,embed_lgbm,lgbm
220,ppv,0.8765432098765432,0.8205128205128205,0.7206043956043956,lr,embed_lgbm,lgbm
221,npv,0.6549707602339181,0.6206896551724138,0.5917664222927381,lr,embed_lgbm,lgbm
