,t,t_p,U,U_p,W,W_p,cohen_d,AUROC,corr,corr_p,mut_info
AlcoholLevel__Dementia.0,0.754251118453825,0.45099888872284266,46447.0,0.4834837060097986,-0.6986511666813194,0.48477005900388126,-0.061703247048547905,0.5165426661773374,-0.030874536341796877,0.4503260896067388,0.0
AlcoholLevel__Dementia.1,-0.754251118453825,0.45099888872284266,43472.0,0.4834837060097986,0.6986511666813194,0.48477005900388126,0.061703247048547905,0.5165426661773375,0.030874536341796877,0.4503260896067388,0.0
HeartRate__Dementia.0,-0.33638784091207985,0.7366972678063377,44161.0,0.7067909047416954,0.3756065079346542,0.7072094518437135,0.02749855822525836,0.5088802144151959,0.013764748940389347,0.7365097220061566,0.0
HeartRate__Dementia.1,0.33638784091207985,0.7366972678063377,45758.0,0.7067909047416954,-0.3756065079346542,0.7072094518437135,-0.02749855822525836,0.5088802144151958,-0.013764748940389347,0.7365097220061566,0.0
BloodOxygenLevel__Dementia.0,-2.3863024725807005,0.01733094635687681,40009.0,0.0196712425114143,2.3403212923431043,0.019267156789522177,0.19506482213165102,0.5550551051501907,0.09718911148014689,0.017251067787523586,0.02084945160454077
BloodOxygenLevel__Dementia.1,2.3863024725807005,0.01733094635687681,49910.0,0.0196712425114143,-2.3403212923431043,0.019267156789522177,-0.19506482213165102,0.5550551051501907,-0.09718911148014689,0.017251067787523586,0.02084945160454077
BodyTemperature__Dementia.0,-0.6119285169454995,0.5408176334875007,43349.0,0.44804934151154496,0.7567009285423258,0.4492290584012899,0.04989597654527377,0.5179105639520012,0.02497063596258946,0.5415486171162376,0.0
BodyTemperature__Dementia.1,0.6119285169454995,0.5408176334875007,46570.0,0.44804934151154496,-0.7567009285423258,0.4492290584012899,-0.04989597654527377,0.5179105639520012,-0.02497063596258946,0.5415486171162376,0.0
Weight__Dementia.0,-1.7930031826018988,0.07348390433518312,41196.0,0.07619276638486498,1.7742117630858119,0.07602812920357824,0.14668919346195955,0.5418543355686785,0.07323687476858595,0.07303744862958708,0.004923359858596266
Weight__Dementia.1,1.7930031826018988,0.07348390433518312,48723.0,0.07619276638486498,-1.7742117630858119,0.07602812920357824,-0.14668919346195955,0.5418543355686785,-0.07323687476858595,0.07303744862958708,0.004923359858596266
Dosage_in_mg__Dementia.0,3.3654002306592163,0.0008673510051795409,43414.5,0.4266257256907837,0.6034617301231563,0.546201567084919,-0.28329689769603034,0.5171821305841925,-0.14041617462411846,0.0005618102809164227,0.5882867676000383
Dosage_in_mg__Dementia.1,-3.3654002306592163,0.0008673510051795409,46504.5,0.4266257256907837,-0.6034617301231563,0.546201567084919,0.28329689769603034,0.5171821305841925,0.14041617462411846,0.0005618102809164227,0.5811767662227885
Age__Dementia.0,-0.8650340967377989,0.3873757340995868,43023.5,0.36143981558196225,0.9069472482587397,0.36443469383081384,0.07087287690243424,0.5215304885508069,0.03545736063974822,0.3859497430001081,0.0
Age__Dementia.1,0.8650340967377989,0.3873757340995868,46895.5,0.36143981558196225,-0.9069472482587397,0.36443469383081384,-0.07087287690243424,0.5215304885508067,-0.03545736063974822,0.3859497430001081,0.028060318488202007
Cognitive_Test_Scores__Dementia.0,-36.616172384830236,1.7112390626871488e-122,0.0,2.4727725925741855e-101,inf,0.0,3.062684320704258,1.0,0.8375905532103249,3.742998925422201e-159,0.6935311416465249
Cognitive_Test_Scores__Dementia.1,36.616172384830236,1.7112390626871488e-122,89919.0,2.4727725925741855e-101,-inf,0.0,-3.062684320704258,1.0,-0.8375905532103249,3.742998925422201e-159,0.6935311416465249
