,metric,trainset,holdout,5-fold,model,selection,embed_selector
0,acc,0.5116666666666667,0.52,0.495,dummy,none,none
1,auroc,0.5163313648950723,0.5121359223300971,0.5301518336178156,dummy,none,none
2,sens,0.5107763653955226,0.5194174757281553,0.49537304800462695,dummy,none,none
3,spec,0.48109965635738833,0.5,0.5002699055330634,dummy,none,none
4,ppv,0.5251572327044025,0.5336538461538461,0.5124565598597163,dummy,none,none
5,npv,0.49645390070921985,0.5052083333333334,0.47780202556064627,dummy,none,none
6,f1,0.5106757851315581,0.5194112788165504,0.49119691288353673,dummy,none,none
7,bal-acc,0.5107763653955226,0.5194174757281553,0.49537304800462695,dummy,none,none
8,acc,0.515,0.515,0.515,dummy,assoc,none
9,auroc,0.5,0.5,0.5,dummy,assoc,none
10,sens,0.5,0.5,0.5,dummy,assoc,none
11,spec,0.0,0.0,0.0,dummy,assoc,none
12,ppv,0.515,0.515,0.515,dummy,assoc,none
13,npv,,,,dummy,assoc,none
14,f1,0.33993399339933994,0.33993399339933994,0.33992683918168265,dummy,assoc,none
15,bal-acc,0.5,0.5,0.5,dummy,assoc,none
16,acc,0.49333333333333335,0.4875,0.5,dummy,pred,none
17,auroc,0.5,0.5,0.5,dummy,pred,none
18,sens,0.4921762919961299,0.4892152937643879,0.5001255483925574,dummy,pred,none
19,spec,0.4536082474226804,0.5463917525773195,0.5001349527665316,dummy,pred,none
20,ppv,0.5077399380804953,0.5028248587570622,0.515870680453479,dummy,pred,none
21,npv,0.47653429602888087,0.47533632286995514,0.48432354338002603,dummy,pred,none
22,f1,0.491888037083259,0.48657262179812283,0.4997645796179791,dummy,pred,none
23,bal-acc,0.4921762919961299,0.4892152937643879,0.5001255483925574,dummy,pred,none
24,acc,0.505,0.51,0.48249999999999993,dummy,embed_lgbm,lgbm
25,auroc,0.5026857505087913,0.513787408667801,0.529536787559894,dummy,embed_lgbm,lgbm
26,sens,0.5046041437293564,0.5094084676208588,0.4812914086341557,dummy,embed_lgbm,lgbm
27,spec,0.49140893470790376,0.4896907216494845,0.4331983805668016,dummy,embed_lgbm,lgbm
28,ppv,0.5194805194805194,0.5240384615384616,0.49862486002239637,dummy,embed_lgbm,lgbm
29,npv,0.4897260273972603,0.4947916666666667,0.4632323232323232,dummy,embed_lgbm,lgbm
30,f1,0.5046023057398856,0.5093990137918951,0.47897663826947356,dummy,embed_lgbm,lgbm
31,bal-acc,0.5046041437293564,0.5094084676208588,0.4812914086341557,dummy,embed_lgbm,lgbm
32,acc,0.525,0.4925,0.5199999999999999,dummy,embed_linear,linear
33,auroc,0.5,0.5,0.5,dummy,embed_linear,linear
34,sens,0.5251226103493144,0.49226804123711343,0.5212066282027771,dummy,embed_linear,linear
35,spec,0.5292096219931272,0.4845360824742268,0.5568151147098516,dummy,embed_linear,linear
36,ppv,0.540268456375839,0.5073891625615764,0.538219761114498,dummy,embed_linear,linear
37,npv,0.5099337748344371,0.47715736040609136,0.5045531729252659,dummy,embed_linear,linear
38,f1,0.5249353384210629,0.4922429479924212,0.5196496020216962,dummy,embed_linear,linear
39,bal-acc,0.5251226103493144,0.49226804123711343,0.5212066282027771,dummy,embed_linear,linear
40,acc,0.49833333333333335,0.485,0.4875,dummy,wrap,none
41,auroc,0.5208854635838922,0.5107596837153439,0.5563719335863111,dummy,wrap,none
42,sens,0.49783138157675244,0.48438594735261736,0.48740284106137766,dummy,wrap,none
