metric,trainset,holdout,5-fold,model,selection,embed_selector
acc,0.5116666666666667,0.52,0.495,dummy,none,none
auroc,0.5163313648950723,0.5121359223300971,0.5301518336178156,dummy,none,none
sens,0.5107763653955226,0.5194174757281553,0.49537304800462695,dummy,none,none
spec,0.48109965635738833,0.5,0.5002699055330634,dummy,none,none
ppv,0.5251572327044025,0.5336538461538461,0.5124565598597163,dummy,none,none
npv,0.49645390070921985,0.5052083333333334,0.47780202556064627,dummy,none,none
f1,0.5106757851315581,0.5194112788165504,0.49119691288353673,dummy,none,none
bal-acc,0.5107763653955226,0.5194174757281553,0.49537304800462695,dummy,none,none
acc,0.515,0.515,0.515,dummy,assoc,none
auroc,0.5,0.5,0.5,dummy,assoc,none
sens,0.5,0.5,0.5,dummy,assoc,none
spec,0.0,0.0,0.0,dummy,assoc,none
ppv,0.515,0.515,0.515,dummy,assoc,none
npv,,,,dummy,assoc,none
f1,0.33993399339933994,0.33993399339933994,0.33992683918168265,dummy,assoc,none
bal-acc,0.5,0.5,0.5,dummy,assoc,none
acc,0.49333333333333335,0.4875,0.5,dummy,pred,none
auroc,0.5,0.5,0.5,dummy,pred,none
sens,0.4921762919961299,0.4892152937643879,0.5001255483925574,dummy,pred,none
spec,0.4536082474226804,0.5463917525773195,0.5001349527665316,dummy,pred,none
ppv,0.5077399380804953,0.5028248587570622,0.515870680453479,dummy,pred,none
npv,0.47653429602888087,0.47533632286995514,0.48432354338002603,dummy,pred,none
f1,0.491888037083259,0.48657262179812283,0.4997645796179791,dummy,pred,none
bal-acc,0.4921762919961299,0.4892152937643879,0.5001255483925574,dummy,pred,none
acc,0.505,0.51,0.48249999999999993,dummy,embed_lgbm,lgbm
auroc,0.5026857505087913,0.513787408667801,0.529536787559894,dummy,embed_lgbm,lgbm
sens,0.5046041437293564,0.5094084676208588,0.4812914086341557,dummy,embed_lgbm,lgbm
spec,0.49140893470790376,0.4896907216494845,0.4331983805668016,dummy,embed_lgbm,lgbm
ppv,0.5194805194805194,0.5240384615384616,0.49862486002239637,dummy,embed_lgbm,lgbm
npv,0.4897260273972603,0.4947916666666667,0.4632323232323232,dummy,embed_lgbm,lgbm
f1,0.5046023057398856,0.5093990137918951,0.47897663826947356,dummy,embed_lgbm,lgbm
bal-acc,0.5046041437293564,0.5094084676208588,0.4812914086341557,dummy,embed_lgbm,lgbm
acc,0.525,0.4925,0.5199999999999999,dummy,embed_linear,linear
auroc,0.5,0.5,0.5,dummy,embed_linear,linear
sens,0.5251226103493144,0.49226804123711343,0.5212066282027771,dummy,embed_linear,linear
spec,0.5292096219931272,0.4845360824742268,0.5568151147098516,dummy,embed_linear,linear
ppv,0.540268456375839,0.5073891625615764,0.538219761114498,dummy,embed_linear,linear
npv,0.5099337748344371,0.47715736040609136,0.5045531729252659,dummy,embed_linear,linear
f1,0.5249353384210629,0.4922429479924212,0.5196496020216962,dummy,embed_linear,linear
bal-acc,0.5251226103493144,0.49226804123711343,0.5212066282027771,dummy,embed_linear,linear
acc,0.49833333333333335,0.485,0.4875,dummy,wrap,none
auroc,0.5208854635838922,0.5107596837153439,0.5563719335863111,dummy,wrap,none
sens,0.49783138157675244,0.48438594735261736,0.48740284106137766,dummy,wrap,none
spec,0.48109965635738833,0.4639175257731959,0.46923076923076923,dummy,wrap,none
ppv,0.5129032258064516,0.5,0.49827504160420305,dummy,wrap,none
npv,0.4827586206896552,0.46875,0.4764718457669287,dummy,wrap,none
f1,0.49782976818420693,0.48436835123025707,0.485590706958258,dummy,wrap,none
bal-acc,0.49783138157675244,0.48438594735261736,0.48740284106137766,dummy,wrap,none
acc,1.0,0.845,0.8275,knn,none,none
auroc,1.0,0.8430587528775898,0.8248287228389923,knn,none,none
sens,1.0,0.8430587528775899,0.8248287228389923,knn,none,none
spec,1.0,0.7783505154639175,0.7271255060728745,knn,none,none
ppv,1.0,0.8130434782608695,0.7828518073896225,knn,none,none
npv,1.0,0.888235294117647,0.8991260130303512,knn,none,none
f1,1.0,0.8437342474039722,0.8247412343864522,knn,none,none
bal-acc,1.0,0.8430587528775899,0.8248287228389923,knn,none,none
acc,1.0,0.8325,0.8225,knn,assoc,none
auroc,1.0,0.975027524772295,0.9443211687755975,knn,assoc,none
sens,1.0,0.8276198578720848,0.817244800556739,knn,assoc,none
spec,1.0,0.6649484536082474,0.6441295546558704,knn,assoc,none
ppv,1.0,0.758364312267658,0.7475741239892184,knn,assoc,none
npv,1.0,0.9847328244274809,0.9839743589743591,knn,assoc,none
f1,1.0,0.8263967611336033,0.8150951935234788,knn,assoc,none
bal-acc,1.0,0.8276198578720848,0.817244800556739,knn,assoc,none
acc,0.975,0.96,0.96,knn,pred,none
auroc,1.0,0.9974226804123711,0.9921727395411606,knn,pred,none
sens,0.9742268041237113,0.9587628865979381,0.9586369770580297,knn,pred,none
spec,0.9484536082474226,0.9175257731958762,0.9172739541160594,knn,pred,none
ppv,0.9537037037037037,0.9279279279279279,0.9289109944429093,knn,pred,none
npv,1.0,1.0,1.0,knn,pred,none
f1,0.9749241455402593,0.9598030348708673,0.9597208566494588,knn,pred,none
bal-acc,0.9742268041237113,0.9587628865979381,0.9586369770580297,knn,pred,none
acc,1.0,1.0,1.0,knn,embed_lgbm,lgbm
auroc,1.0,1.0,1.0,knn,embed_lgbm,lgbm
sens,1.0,1.0,1.0,knn,embed_lgbm,lgbm
spec,1.0,1.0,1.0,knn,embed_lgbm,lgbm
ppv,1.0,1.0,1.0,knn,embed_lgbm,lgbm
npv,1.0,1.0,1.0,knn,embed_lgbm,lgbm
f1,1.0,1.0,1.0,knn,embed_lgbm,lgbm
bal-acc,1.0,1.0,1.0,knn,embed_lgbm,lgbm
acc,0.7066666666666667,0.6825,0.67,knn,embed_linear,linear
auroc,0.9116760640131675,0.8917525773195876,0.7994561920749341,knn,embed_linear,linear
sens,0.6979948620425049,0.6731308177359624,0.6624890086379175,knn,embed_linear,linear
spec,0.40893470790378006,0.36082474226804123,0.41255060728744936,knn,embed_linear,linear
ppv,0.639412997903564,0.6207951070336392,0.6229890798590437,knn,embed_linear,linear
npv,0.967479674796748,0.958904109589041,0.8201238390092879,knn,embed_linear,linear
f1,0.6754803259947635,0.6430353240438196,0.6434147673205353,knn,embed_linear,linear
bal-acc,0.6979948620425049,0.6731308177359624,0.6624890086379175,knn,embed_linear,linear
acc,1.0,1.0,1.0,knn,wrap,none
auroc,1.0,1.0,1.0,knn,wrap,none
sens,1.0,1.0,1.0,knn,wrap,none
spec,1.0,1.0,1.0,knn,wrap,none
ppv,1.0,1.0,1.0,knn,wrap,none
npv,1.0,1.0,1.0,knn,wrap,none
f1,1.0,1.0,1.0,knn,wrap,none
bal-acc,1.0,1.0,1.0,knn,wrap,none
acc,1.0,1.0,0.515,lgbm,none,none
auroc,1.0,1.0,0.5,lgbm,none,none
sens,1.0,1.0,0.5,lgbm,none,none
spec,1.0,1.0,0.0,lgbm,none,none
ppv,1.0,1.0,0.515,lgbm,none,none
npv,1.0,1.0,,lgbm,none,none
f1,1.0,1.0,0.33992683918168265,lgbm,none,none
bal-acc,1.0,1.0,0.5,lgbm,none,none
acc,1.0,1.0,1.0,lgbm,assoc,none
auroc,1.0,1.0,1.0,lgbm,assoc,none
sens,1.0,1.0,1.0,lgbm,assoc,none
spec,1.0,1.0,1.0,lgbm,assoc,none
ppv,1.0,1.0,1.0,lgbm,assoc,none
npv,1.0,1.0,1.0,lgbm,assoc,none
f1,1.0,1.0,1.0,lgbm,assoc,none
bal-acc,1.0,1.0,1.0,lgbm,assoc,none
acc,1.0,1.0,1.0,lgbm,pred,none
auroc,1.0,1.0,1.0,lgbm,pred,none
sens,1.0,1.0,1.0,lgbm,pred,none
spec,1.0,1.0,1.0,lgbm,pred,none
ppv,1.0,1.0,1.0,lgbm,pred,none
npv,1.0,1.0,1.0,lgbm,pred,none
f1,1.0,1.0,1.0,lgbm,pred,none
bal-acc,1.0,1.0,1.0,lgbm,pred,none
acc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
auroc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
sens,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
spec,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
ppv,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
npv,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
f1,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
bal-acc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
acc,1.0,1.0,1.0,lgbm,embed_linear,linear
auroc,1.0,1.0,1.0,lgbm,embed_linear,linear
sens,1.0,1.0,1.0,lgbm,embed_linear,linear
spec,1.0,1.0,1.0,lgbm,embed_linear,linear
ppv,1.0,1.0,1.0,lgbm,embed_linear,linear
npv,1.0,1.0,1.0,lgbm,embed_linear,linear
f1,1.0,1.0,1.0,lgbm,embed_linear,linear
bal-acc,1.0,1.0,1.0,lgbm,embed_linear,linear
acc,1.0,1.0,1.0,lgbm,wrap,none
auroc,1.0,1.0,1.0,lgbm,wrap,none
sens,1.0,1.0,1.0,lgbm,wrap,none
spec,1.0,1.0,1.0,lgbm,wrap,none
ppv,1.0,1.0,1.0,lgbm,wrap,none
npv,1.0,1.0,1.0,lgbm,wrap,none
f1,1.0,1.0,1.0,lgbm,wrap,none
bal-acc,1.0,1.0,1.0,lgbm,wrap,none
acc,1.0,1.0,0.9974999999999999,lr,none,none
auroc,1.0,1.0,1.0,lr,none,none
sens,1.0,1.0,0.9974358974358974,lr,none,none
spec,1.0,1.0,0.9948717948717949,lr,none,none
ppv,1.0,1.0,0.9952380952380953,lr,none,none
npv,1.0,1.0,1.0,lr,none,none
f1,1.0,1.0,0.9974964794241903,lr,none,none
bal-acc,1.0,1.0,0.9974358974358974,lr,none,none
acc,1.0,1.0,1.0,lr,assoc,none
auroc,1.0,1.0,1.0,lr,assoc,none
sens,1.0,1.0,1.0,lr,assoc,none
spec,1.0,1.0,1.0,lr,assoc,none
ppv,1.0,1.0,1.0,lr,assoc,none
npv,1.0,1.0,1.0,lr,assoc,none
f1,1.0,1.0,1.0,lr,assoc,none
bal-acc,1.0,1.0,1.0,lr,assoc,none
acc,1.0,1.0,1.0,lr,pred,none
auroc,1.0,1.0,1.0,lr,pred,none
sens,1.0,1.0,1.0,lr,pred,none
spec,1.0,1.0,1.0,lr,pred,none
ppv,1.0,1.0,1.0,lr,pred,none
npv,1.0,1.0,1.0,lr,pred,none
f1,1.0,1.0,1.0,lr,pred,none
bal-acc,1.0,1.0,1.0,lr,pred,none
acc,1.0,1.0,1.0,lr,embed_lgbm,lgbm
auroc,1.0,1.0,1.0,lr,embed_lgbm,lgbm
sens,1.0,1.0,1.0,lr,embed_lgbm,lgbm
spec,1.0,1.0,1.0,lr,embed_lgbm,lgbm
ppv,1.0,1.0,1.0,lr,embed_lgbm,lgbm
npv,1.0,1.0,1.0,lr,embed_lgbm,lgbm
f1,1.0,1.0,1.0,lr,embed_lgbm,lgbm
bal-acc,1.0,1.0,1.0,lr,embed_lgbm,lgbm
acc,1.0,1.0,1.0,lr,embed_linear,linear
auroc,1.0,1.0,1.0,lr,embed_linear,linear
sens,1.0,1.0,1.0,lr,embed_linear,linear
spec,1.0,1.0,1.0,lr,embed_linear,linear
ppv,1.0,1.0,1.0,lr,embed_linear,linear
npv,1.0,1.0,1.0,lr,embed_linear,linear
f1,1.0,1.0,1.0,lr,embed_linear,linear
bal-acc,1.0,1.0,1.0,lr,embed_linear,linear
acc,1.0,1.0,1.0,lr,wrap,none
auroc,1.0,1.0,1.0,lr,wrap,none
sens,1.0,1.0,1.0,lr,wrap,none
spec,1.0,1.0,1.0,lr,wrap,none
ppv,1.0,1.0,1.0,lr,wrap,none
npv,1.0,1.0,1.0,lr,wrap,none
f1,1.0,1.0,1.0,lr,wrap,none
bal-acc,1.0,1.0,1.0,lr,wrap,none
acc,1.0,1.0,0.515,rf,none,none
auroc,1.0,1.0,0.5,rf,none,none
sens,1.0,1.0,0.5,rf,none,none
spec,1.0,1.0,0.0,rf,none,none
ppv,1.0,1.0,0.515,rf,none,none
npv,1.0,1.0,,rf,none,none
f1,1.0,1.0,0.33992683918168265,rf,none,none
bal-acc,1.0,1.0,0.5,rf,none,none
acc,1.0,1.0,1.0,rf,assoc,none
auroc,0.9999999999999999,1.0,1.0,rf,assoc,none
sens,1.0,1.0,1.0,rf,assoc,none
spec,1.0,1.0,1.0,rf,assoc,none
ppv,1.0,1.0,1.0,rf,assoc,none
npv,1.0,1.0,1.0,rf,assoc,none
f1,1.0,1.0,1.0,rf,assoc,none
bal-acc,1.0,1.0,1.0,rf,assoc,none
acc,1.0,1.0,1.0,rf,pred,none
auroc,1.0,1.0,1.0,rf,pred,none
sens,1.0,1.0,1.0,rf,pred,none
spec,1.0,1.0,1.0,rf,pred,none
ppv,1.0,1.0,1.0,rf,pred,none
npv,1.0,1.0,1.0,rf,pred,none
f1,1.0,1.0,1.0,rf,pred,none
bal-acc,1.0,1.0,1.0,rf,pred,none
acc,1.0,1.0,1.0,rf,embed_lgbm,lgbm
auroc,1.0,1.0,1.0,rf,embed_lgbm,lgbm
sens,1.0,1.0,1.0,rf,embed_lgbm,lgbm
spec,1.0,1.0,1.0,rf,embed_lgbm,lgbm
ppv,1.0,1.0,1.0,rf,embed_lgbm,lgbm
npv,1.0,1.0,1.0,rf,embed_lgbm,lgbm
f1,1.0,1.0,1.0,rf,embed_lgbm,lgbm
bal-acc,1.0,1.0,1.0,rf,embed_lgbm,lgbm
acc,1.0,1.0,0.515,rf,embed_linear,linear
auroc,1.0,0.9999999999999999,0.5,rf,embed_linear,linear
sens,1.0,1.0,0.5,rf,embed_linear,linear
spec,1.0,1.0,0.0,rf,embed_linear,linear
ppv,1.0,1.0,0.515,rf,embed_linear,linear
npv,1.0,1.0,,rf,embed_linear,linear
f1,1.0,1.0,0.33992683918168265,rf,embed_linear,linear
bal-acc,1.0,1.0,0.5,rf,embed_linear,linear
acc,1.0,1.0,1.0,rf,wrap,none
auroc,1.0,1.0,1.0,rf,wrap,none
sens,1.0,1.0,1.0,rf,wrap,none
spec,1.0,1.0,1.0,rf,wrap,none
ppv,1.0,1.0,1.0,rf,wrap,none
npv,1.0,1.0,1.0,rf,wrap,none
f1,1.0,1.0,1.0,rf,wrap,none
bal-acc,1.0,1.0,1.0,rf,wrap,none
acc,1.0,0.9975,1.0,sgd,none,none
auroc,1.0,1.0,1.0,sgd,none,none
sens,1.0,0.9974226804123711,1.0,sgd,none,none
spec,1.0,0.9948453608247423,1.0,sgd,none,none
ppv,1.0,0.9951690821256038,1.0,sgd,none,none
npv,1.0,1.0,1.0,sgd,none,none
f1,1.0,0.9974973565828906,1.0,sgd,none,none
bal-acc,1.0,0.9974226804123711,1.0,sgd,none,none
acc,1.0,1.0,1.0,sgd,assoc,none
auroc,1.0,1.0,1.0,sgd,assoc,none
sens,1.0,1.0,1.0,sgd,assoc,none
spec,1.0,1.0,1.0,sgd,assoc,none
ppv,1.0,1.0,1.0,sgd,assoc,none
npv,1.0,1.0,1.0,sgd,assoc,none
f1,1.0,1.0,1.0,sgd,assoc,none
bal-acc,1.0,1.0,1.0,sgd,assoc,none
acc,0.985,0.985,0.9574999999999999,sgd,pred,none
auroc,0.9999110310390462,0.9999499549594635,0.995495069756944,sgd,pred,none
sens,0.9845360824742269,0.9845360824742269,0.9562654290510517,sgd,pred,none
spec,0.9690721649484536,0.9690721649484536,0.9174089068825912,sgd,pred,none
ppv,0.9716981132075472,0.9716981132075472,0.9280343810778593,sgd,pred,none
npv,1.0,1.0,0.9947368421052631,sgd,pred,none
f1,0.9849695633658158,0.9849695633658158,0.9572730364460458,sgd,pred,none
bal-acc,0.9845360824742269,0.9845360824742269,0.9562654290510517,sgd,pred,none
acc,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
auroc,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
sens,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
spec,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
ppv,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
npv,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
f1,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
bal-acc,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
acc,1.0,1.0,1.0,sgd,embed_linear,linear
auroc,1.0,1.0,1.0,sgd,embed_linear,linear
sens,1.0,1.0,1.0,sgd,embed_linear,linear
spec,1.0,1.0,1.0,sgd,embed_linear,linear
ppv,1.0,1.0,1.0,sgd,embed_linear,linear
npv,1.0,1.0,1.0,sgd,embed_linear,linear
f1,1.0,1.0,1.0,sgd,embed_linear,linear
bal-acc,1.0,1.0,1.0,sgd,embed_linear,linear
acc,1.0,1.0,1.0,sgd,wrap,none
auroc,1.0,1.0,1.0,sgd,wrap,none
