,selection,embed_selector,model,params,metric,score
0,none,none,dummy,"{""strategy"": ""stratified""}",acc,0.5216666666666667
1,assoc,none,dummy,"{""strategy"": ""prior""}",acc,0.5149999999999999
2,pred,none,dummy,"{""strategy"": ""uniform""}",acc,0.5149999999999999
3,embed,lgbm,dummy,"{""strategy"": ""stratified""}",acc,0.5216666666666667
4,embed,linear,dummy,"{""strategy"": ""uniform""}",acc,0.54
5,wrap,none,dummy,"{""strategy"": ""stratified""}",acc,0.53
6,none,none,knn,"{""n_neighbors"": 1, ""weights"": ""distance"", ""metric"": ""l2""}",acc,0.8099999999999999
7,assoc,none,knn,"{""n_neighbors"": 25, ""weights"": ""distance"", ""metric"": ""correlation""}",acc,0.8099999999999999
8,pred,none,knn,"{""n_neighbors"": 10, ""weights"": ""uniform"", ""metric"": ""cosine""}",acc,0.9800000000000001
9,embed,lgbm,knn,"{""n_neighbors"": 1, ""weights"": ""uniform"", ""metric"": ""l2""}",acc,0.9983333333333334
10,embed,linear,knn,"{""n_neighbors"": 50, ""weights"": ""uniform"", ""metric"": ""l2""}",acc,0.8099999999999999
11,wrap,none,knn,"{""n_neighbors"": 10, ""weights"": ""distance"", ""metric"": ""l2""}",acc,1.0
12,none,none,lgbm,"{""n_estimators"": 150, ""reg_alpha"": 1.2283907708175702e-08, ""reg_lambda"": 3.2678946261223186e-06, ""num_leaves"": 3, ""colsample_bytree"": 0.9591895409866671, ""subsample"": 0.4350842756538319, ""subsample_freq"": 6, ""min_child_samples"": 85}",acc,1.0
13,assoc,none,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 0.12989847976589985, ""reg_lambda"": 2.9615732856806256e-07, ""num_leaves"": 2, ""colsample_bytree"": 0.4627271524789867, ""subsample"": 0.9697428557597084, ""subsample_freq"": 2, ""min_child_samples"": 55}",acc,1.0
14,pred,none,lgbm,"{""n_estimators"": 100, ""reg_alpha"": 0.3042469872726415, ""reg_lambda"": 0.5688544107605328, ""num_leaves"": 2, ""colsample_bytree"": 0.6306861894495124, ""subsample"": 0.9641471940491202, ""subsample_freq"": 7, ""min_child_samples"": 45}",acc,1.0
15,embed,lgbm,lgbm,"{""n_estimators"": 100, ""reg_alpha"": 3.69685255212724e-06, ""reg_lambda"": 7.976891101874794e-07, ""num_leaves"": 2, ""colsample_bytree"": 0.5572235953338429, ""subsample"": 0.8688324846005366, ""subsample_freq"": 0, ""min_child_samples"": 72}",acc,1.0
16,embed,linear,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 0.010553427233540875, ""reg_lambda"": 3.2082145098686996, ""num_leaves"": 6, ""colsample_bytree"": 0.8920190597956938, ""subsample"": 0.6848540972352206, ""subsample_freq"": 4, ""min_child_samples"": 67}",acc,1.0
