,cramer_v,H,H_p,mut_info
Education_Level__Dementia.0,0.18178008509433208,260.06150355130353,1.6638334141668525e-58,0.01696339953908349
Education_Level__Dementia.1,0.18178008509433208,266.27322639784484,7.364849658945637e-60,0.01696339953908349
Education_Level,0.18178008509433208,,,0.01696339953908349
Smoking_Status__Dementia.0,0.30679178699869714,210.0095134149769,1.3670684119597703e-47,0.0645776571254216
Smoking_Status__Dementia.1,0.30679178699869714,219.2423444258256,1.3232711943852713e-49,0.0645776571254216
Smoking_Status,0.30679178699869714,,,0.0645776571254216
Prescription__Dementia.0,1.0,284.41674198314206,8.187247330458765e-64,0.6926879734424751
Prescription__Dementia.1,1.0,289.41385930803597,6.672237610096375e-65,0.6926879734424751
Prescription,1.0,,,0.6926879734424751
Nutrition_Diet__Dementia.0,0.05012350803299909,55.170122275385395,1.1053624590989055e-13,0.0012560954386360845
Nutrition_Diet__Dementia.1,0.05012350803299909,62.21065109133304,3.0861422731714315e-15,0.0012560954386360845
Nutrition_Diet,0.05012350803299909,,,0.0012560954386360845
Chronic_Health_Conditions__Dementia.0,0.05265705165447034,7.194199817441481,0.007313959763960643,0.0013886153431245662
Chronic_Health_Conditions__Dementia.1,0.05265705165447034,10.083468157084786,0.0014960548209579964,0.0013886153431245662
Chronic_Health_Conditions,0.05265705165447034,,,0.0013886153431245662
Physical_Activity__Dementia.0,0.0801878461864583,51.98203608327085,5.601071955558093e-13,0.003219833335978306
Physical_Activity__Dementia.1,0.0801878461864583,59.0304600123539,1.552500004557961e-14,0.003219833335978306
Physical_Activity,0.0801878461864583,,,0.003219833335978306
Family_History__Dementia.0,0.10302538194599399,0.06060296372009796,0.8055454574760353,0.00531554366734216
Family_History__Dementia.1,0.10302538194599399,0.9681632653061948,0.3251386827695851,0.00531554366734216
Family_History,0.10302538194599399,,,0.00531554366734216
Medication_History__Dementia.0,0.007781241135641042,1.7219600725952753,0.18944093599311643,3.027343114742065e-05
Medication_History__Dementia.1,0.007781241135641042,0.3303696292337989,0.5654415180149084,3.027343114742065e-05
Medication_History,0.007781241135641042,,,3.027343114742065e-05
APOE_ε4__Dementia.0,0.36712653230858067,19.74440822616043,8.852031064999076e-06,0.0708805458360329
APOE_ε4__Dementia.1,0.36712653230858067,26.691943793911243,2.3861431619786666e-07,0.0708805458360329
APOE_ε4,0.36712653230858067,,,0.0708805458360329
Dominant_Hand__Dementia.0,0.048325602842402116,1.7219600725952753,0.18944093599311643,0.001167971899359188
Dominant_Hand__Dementia.1,0.04832560284240211,0.3303696292337989,0.5654415180149084,0.001167971899359188
Dominant_Hand,0.04832560284240211,,,0.001167971899359188
Depression_Status__Dementia.0,0.5830951894845301,46.86146341463423,7.618615695243357e-12,0.2177868692209396
Depression_Status__Dementia.1,0.5830951894845301,37.650793650793844,8.461224455095158e-10,0.2177868692209396
Depression_Status,0.5830951894845301,,,0.2177868692209396
Sleep_Quality__Dementia.0,0.04289215686274517,0.0,1.0,0.0009201044437590622
Sleep_Quality__Dementia.1,0.04289215686274517,0.5445362718091534,0.46055880471420263,0.0009201044437590622
Sleep_Quality,0.04289215686274517,,,0.0009201044437590622
Diabetic__Dementia.0,0.03232263035935406,0.1684410257577526,0.6815010500722218,0.0005225128589310124
Diabetic__Dementia.1,0.032322630359354065,1.318016873809322,0.2509482701628292,0.0005225128589310124
Diabetic,0.032322630359354065,,,0.0005225128589310124
