metric,trainset,holdout,5-fold,model,selection,embed_selector
acc,0.5185185185185185,0.5326633165829145,0.4366666666666667,dummy,none,none
auroc,0.5,0.5,0.5,dummy,none,none
sens,0.5189950980392157,0.5322417626844552,0.43600250626566417,dummy,none,none
spec,0.5347222222222222,0.5154639175257731,0.3910526315789474,dummy,none,none
ppv,0.5347222222222222,0.5436893203883495,0.45409523809523805,dummy,none,none
npv,0.5032679738562091,0.5208333333333334,0.41516347687400323,dummy,none,none
f1,0.5185185185185185,0.5322380892202705,0.43280307554376873,dummy,none,none
bal-acc,0.5189950980392157,0.5322417626844552,0.43600250626566417,dummy,none,none
acc,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,assoc,none
auroc,0.5,0.5,0.5,dummy,assoc,none
sens,0.5,0.5,0.5,dummy,assoc,none
spec,0.0,0.0,0.0,dummy,assoc,none
ppv,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,assoc,none
npv,,,,dummy,assoc,none
f1,0.34,0.3388704318936877,0.3388348615356117,dummy,assoc,none
bal-acc,0.5,0.5,0.5,dummy,assoc,none
acc,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,pred,none
auroc,0.5,0.5,0.5,dummy,pred,none
sens,0.5,0.5,0.5,dummy,pred,none
spec,0.0,0.0,0.0,dummy,pred,none
ppv,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,pred,none
npv,,,,dummy,pred,none
f1,0.34,0.3388704318936877,0.3388348615356117,dummy,pred,none
bal-acc,0.5,0.5,0.5,dummy,pred,none
acc,0.531986531986532,0.5125628140703518,0.5332051282051282,dummy,embed_lgbm,lgbm
auroc,0.5349264705882354,0.5237012330705478,0.5574436090225563,dummy,embed_lgbm,lgbm
sens,0.5310457516339869,0.5118758843743683,0.534874686716792,dummy,embed_lgbm,lgbm
spec,0.5,0.4845360824742268,0.5373684210526315,dummy,embed_lgbm,lgbm
ppv,0.5443037974683544,0.5238095238095238,0.546750208855472,dummy,embed_lgbm,lgbm
npv,0.5179856115107914,0.5,0.5282638414217361,dummy,embed_lgbm,lgbm
f1,0.5309442923204526,0.5117737815211069,0.5276743943191311,dummy,embed_lgbm,lgbm
bal-acc,0.5310457516339869,0.5118758843743683,0.534874686716792,dummy,embed_lgbm,lgbm
acc,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,embed_linear,linear
auroc,0.5,0.5,0.5,dummy,embed_linear,linear
sens,0.5,0.5,0.5,dummy,embed_linear,linear
spec,0.0,0.0,0.0,dummy,embed_linear,linear
ppv,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,embed_linear,linear
npv,,,,dummy,embed_linear,linear
f1,0.34,0.3388704318936877,0.3388348615356117,dummy,embed_linear,linear
bal-acc,0.5,0.5,0.5,dummy,embed_linear,linear
acc,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,wrap,none
auroc,0.5,0.5,0.5,dummy,wrap,none
sens,0.5,0.5,0.5,dummy,wrap,none
spec,0.0,0.0,0.0,dummy,wrap,none
ppv,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,wrap,none
npv,,,,dummy,wrap,none
f1,0.34,0.3388704318936877,0.3388348615356117,dummy,wrap,none
bal-acc,0.5,0.5,0.5,dummy,wrap,none
acc,1.0,0.7537688442211056,0.7435897435897436,knn,none,none
auroc,1.0,0.9728118051344249,0.8861942355889724,knn,none,none
sens,1.0,0.7474226804123711,0.736578947368421,knn,none,none
spec,1.0,0.4948453608247423,0.5031578947368421,knn,none,none
ppv,1.0,0.6754966887417219,0.6759520651762031,knn,none,none
npv,1.0,1.0,0.9466666666666667,knn,none,none
f1,1.0,0.7341965380945891,0.72343853339726,knn,none,none
bal-acc,1.0,0.7474226804123711,0.736578947368421,knn,none,none
acc,1.0,0.7688442211055276,0.7487179487179487,knn,assoc,none
auroc,1.0,0.9169193450576107,0.822437343358396,knn,assoc,none
sens,1.0,0.7644026682838083,0.7436340852130326,knn,assoc,none
spec,1.0,0.5876288659793815,0.5563157894736841,knn,assoc,none
ppv,1.0,0.7058823529411765,0.6888275862068965,knn,assoc,none
npv,1.0,0.9047619047619048,0.8884848484848484,knn,assoc,none
f1,1.0,0.7596113445378152,0.7370195303928022,knn,assoc,none
bal-acc,1.0,0.7644026682838083,0.7436340852130326,knn,assoc,none
acc,0.98989898989899,0.9748743718592965,0.96,knn,pred,none
auroc,1.0,0.9948453608247423,0.9847368421052632,knn,pred,none
sens,0.9895833333333333,0.9742268041237113,0.9594736842105263,knn,pred,none
spec,0.9791666666666666,0.9484536082474226,0.9189473684210526,knn,pred,none
ppv,0.9807692307692307,0.9532710280373832,0.9310935441370223,knn,pred,none
npv,1.0,1.0,1.0,knn,pred,none
f1,0.9898824731732243,0.9748107642844485,0.9596719070403281,knn,pred,none
bal-acc,0.9895833333333333,0.9742268041237113,0.9594736842105263,knn,pred,none
acc,1.0,0.914572864321608,0.8542307692307693,knn,embed_lgbm,lgbm
auroc,1.0,0.9123711340206185,0.8515288220551378,knn,embed_lgbm,lgbm
sens,1.0,0.9123711340206185,0.8515288220551378,knn,embed_lgbm,lgbm
spec,1.0,0.8247422680412371,0.7321052631578947,knn,embed_lgbm,lgbm
ppv,1.0,0.8571428571428571,0.7921794871794872,knn,embed_lgbm,lgbm
npv,1.0,1.0,0.9600000000000002,knn,embed_lgbm,lgbm
f1,1.0,0.913515862668405,0.8512481408900847,knn,embed_lgbm,lgbm
