,selection,embed_selector,model,params,metric,score
0,none,none,dummy,"{""strategy"": ""uniform""}",acc,0.528361581920904
1,assoc,none,dummy,"{""strategy"": ""most_frequent""}",acc,0.5151412429378531
2,pred,none,dummy,"{""strategy"": ""most_frequent""}",acc,0.5151412429378531
3,embed,lgbm,dummy,"{""strategy"": ""stratified""}",acc,0.5484745762711865
4,embed,linear,dummy,"{""strategy"": ""prior""}",acc,0.5151412429378531
5,wrap,none,dummy,"{""strategy"": ""prior""}",acc,0.5151412429378531
6,none,none,knn,"{""n_neighbors"": 50, ""weights"": ""distance"", ""metric"": ""cosine""}",acc,0.7914124293785311
7,assoc,none,knn,"{""n_neighbors"": 10, ""weights"": ""distance"", ""metric"": ""l2""}",acc,0.7914124293785311
8,pred,none,knn,"{""n_neighbors"": 5, ""weights"": ""uniform"", ""metric"": ""cosine""}",acc,0.9831073446327684
9,embed,lgbm,knn,"{""n_neighbors"": 1, ""weights"": ""uniform"", ""metric"": ""l2""}",acc,0.8720338983050848
10,embed,linear,knn,"{""n_neighbors"": 25, ""weights"": ""uniform"", ""metric"": ""l2""}",acc,0.7914124293785311
11,wrap,none,knn,"{""n_neighbors"": 10, ""weights"": ""distance"", ""metric"": ""cosine""}",acc,0.9259322033898305
12,none,none,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 4.8643781142476806e-08, ""reg_lambda"": 3.211095911200196e-07, ""num_leaves"": 2, ""colsample_bytree"": 0.5879846807767303, ""subsample"": 0.7198207064047442, ""subsample_freq"": 3, ""min_child_samples"": 70}",acc,1.0
13,assoc,none,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 0.07144080415458617, ""reg_lambda"": 0.07011553739948119, ""num_leaves"": 5, ""colsample_bytree"": 0.8131311434603125, ""subsample"": 0.7598874643990242, ""subsample_freq"": 5, ""min_child_samples"": 28}",acc,1.0
14,pred,none,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 4.5364559872840054e-07, ""reg_lambda"": 0.6710095560867635, ""num_leaves"": 44, ""colsample_bytree"": 0.9694519628757178, ""subsample"": 0.7563162101719346, ""subsample_freq"": 6, ""min_child_samples"": 52}",acc,1.0
15,embed,lgbm,lgbm,"{""n_estimators"": 50, ""reg_alpha"": 0.3064901828129738, ""reg_lambda"": 0.0019541925415611327, ""num_leaves"": 3, ""colsample_bytree"": 0.9943575173192445, ""subsample"": 0.4795407052513745, ""subsample_freq"": 5, ""min_child_samples"": 45}",acc,1.0
