,metric,trainset,holdout,5-fold,model,selection,embed_selector
0,acc,0.514,0.516,0.516,dummy,none,none
1,auroc,0.5,0.5,0.5,dummy,none,none
2,sens,0.5,0.5,0.5,dummy,none,none
3,spec,0.0,0.0,0.0,dummy,none,none
4,ppv,0.514,0.516,0.516,dummy,none,none
5,npv,,,,dummy,none,none
6,f1,0.3394980184940555,0.3403693931398417,0.3403624956430812,dummy,none,none
7,bal-acc,0.5,0.5,0.5,dummy,none,none
8,acc,0.514,0.516,0.516,dummy,assoc,none
9,auroc,0.5,0.5,0.5,dummy,assoc,none
10,sens,0.5,0.5,0.5,dummy,assoc,none
11,spec,0.0,0.0,0.0,dummy,assoc,none
12,ppv,0.514,0.516,0.516,dummy,assoc,none
13,npv,,,,dummy,assoc,none
14,f1,0.3394980184940555,0.3403693931398417,0.3403624956430812,dummy,assoc,none
15,bal-acc,0.5,0.5,0.5,dummy,assoc,none
16,acc,0.496,0.49,0.466,dummy,pred,none
17,auroc,0.5054442683063521,0.500112114805561,0.5538929033151723,dummy,pred,none
18,sens,0.4962770812316857,0.4899256839003139,0.46561124449779917,dummy,pred,none
19,spec,0.5061728395061729,0.48760330578512395,0.4586734693877551,dummy,pred,none
20,ppv,0.5102040816326531,0.5059760956175299,0.48139204373246924,dummy,pred,none
21,npv,0.4823529411764706,0.4738955823293173,0.44935826683570734,dummy,pred,none
22,f1,0.4959919358709739,0.48983470644488813,0.4648018978030207,dummy,pred,none
23,bal-acc,0.4962770812316857,0.4899256839003139,0.46561124449779917,dummy,pred,none
24,acc,0.494,0.492,0.4779999999999999,dummy,embed_lgbm,lgbm
25,auroc,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
26,sens,0.4934348529246929,0.4914792747773721,0.4777620663650075,dummy,embed_lgbm,lgbm
27,spec,0.4732510288065844,0.47520661157024796,0.4708333333333333,dummy,embed_lgbm,lgbm
28,ppv,0.5076923076923077,0.5077519379844961,0.49613247621472284,dummy,embed_lgbm,lgbm
29,npv,0.4791666666666667,0.47520661157024796,0.4584296711956286,dummy,embed_lgbm,lgbm
