metric,trainset,holdout,5-fold,model,selection,embed_selector
acc,0.514,0.516,0.516,dummy,none,none
auroc,0.5,0.5,0.5,dummy,none,none
sens,0.5,0.5,0.5,dummy,none,none
spec,0.0,0.0,0.0,dummy,none,none
ppv,0.514,0.516,0.516,dummy,none,none
npv,,,,dummy,none,none
f1,0.3394980184940555,0.3403693931398417,0.3403624956430812,dummy,none,none
bal-acc,0.5,0.5,0.5,dummy,none,none
acc,0.514,0.516,0.516,dummy,assoc,none
auroc,0.5,0.5,0.5,dummy,assoc,none
sens,0.5,0.5,0.5,dummy,assoc,none
spec,0.0,0.0,0.0,dummy,assoc,none
ppv,0.514,0.516,0.516,dummy,assoc,none
npv,,,,dummy,assoc,none
f1,0.3394980184940555,0.3403693931398417,0.3403624956430812,dummy,assoc,none
bal-acc,0.5,0.5,0.5,dummy,assoc,none
acc,0.496,0.49,0.466,dummy,pred,none
auroc,0.5054442683063521,0.500112114805561,0.5538929033151723,dummy,pred,none
sens,0.4962770812316857,0.4899256839003139,0.46561124449779917,dummy,pred,none
spec,0.5061728395061729,0.48760330578512395,0.4586734693877551,dummy,pred,none
ppv,0.5102040816326531,0.5059760956175299,0.48139204373246924,dummy,pred,none
npv,0.4823529411764706,0.4738955823293173,0.44935826683570734,dummy,pred,none
f1,0.4959919358709739,0.48983470644488813,0.4648018978030207,dummy,pred,none
bal-acc,0.4962770812316857,0.4899256839003139,0.46561124449779917,dummy,pred,none
acc,0.494,0.492,0.4779999999999999,dummy,embed_lgbm,lgbm
auroc,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
sens,0.4934348529246929,0.4914792747773721,0.4777620663650075,dummy,embed_lgbm,lgbm
spec,0.4732510288065844,0.47520661157024796,0.4708333333333333,dummy,embed_lgbm,lgbm
ppv,0.5076923076923077,0.5077519379844961,0.49613247621472284,dummy,embed_lgbm,lgbm
npv,0.4791666666666667,0.47520661157024796,0.4584296711956286,dummy,embed_lgbm,lgbm
f1,0.4934143870314083,0.4914792747773721,0.476601387077945,dummy,embed_lgbm,lgbm
bal-acc,0.4934348529246929,0.4914792747773721,0.4777620663650075,dummy,embed_lgbm,lgbm
acc,0.474,0.466,0.49800000000000005,dummy,embed_linear,linear
auroc,0.5,0.5,0.5,dummy,embed_linear,linear
sens,0.4745400393908824,0.46602921391504903,0.4971298134638471,dummy,embed_linear,linear
spec,0.49382716049382713,0.4669421487603306,0.47525510204081634,dummy,embed_linear,linear
ppv,0.4875,0.4819277108433735,0.5121254810775535,dummy,embed_linear,linear
npv,0.46153846153846156,0.450199203187251,0.48250643597026055,dummy,embed_linear,linear
f1,0.47398106331827944,0.46589531548183444,0.49645860295153943,dummy,embed_linear,linear
bal-acc,0.4745400393908824,0.46602921391504903,0.4971298134638471,dummy,embed_linear,linear
acc,0.484,0.528,0.522,dummy,wrap,none
auroc,0.5,0.5,0.5,dummy,wrap,none
sens,0.4840434900962355,0.5272599141520917,0.5206490288423062,dummy,wrap,none
spec,0.48559670781893005,0.5041322314049587,0.4870748299319728,dummy,wrap,none
ppv,0.4979919678714859,0.5419847328244275,0.5358261787252034,dummy,wrap,none
npv,0.4701195219123506,0.5126050420168067,0.5060766812472954,dummy,wrap,none
f1,0.483925685298683,0.5272435897435896,0.5197230708414776,dummy,wrap,none
bal-acc,0.4840434900962355,0.5272599141520917,0.5206490288423062,dummy,wrap,none
acc,0.986,0.992,0.976,gandalf,none,none
auroc,0.9991193095386783,0.9997437375872893,0.998477564102564,gandalf,none,none
sens,0.9861571472034074,0.9921199308091486,0.9754055468341182,gandalf,none,none
spec,0.9917695473251029,0.9958677685950413,0.9585034013605442,gandalf,none,none
ppv,0.9921259842519685,0.99609375,0.9639228836021673,gandalf,none,none
npv,0.9796747967479674,0.9877049180327869,0.9918367346938777,gandalf,none,none
f1,0.9859932207188279,0.9919937230788939,0.9758647672401631,gandalf,none,none
bal-acc,0.9861571472034074,0.9921199308091486,0.9754055468341182,gandalf,none,none
acc,1.0,1.0,1.0,gandalf,assoc,none
auroc,1.0,1.0,1.0,gandalf,assoc,none
sens,1.0,1.0,1.0,gandalf,assoc,none
spec,1.0,1.0,1.0,gandalf,assoc,none
ppv,1.0,1.0,1.0,gandalf,assoc,none
npv,1.0,1.0,1.0,gandalf,assoc,none
f1,1.0,1.0,1.0,gandalf,assoc,none
bal-acc,1.0,1.0,1.0,gandalf,assoc,none
acc,0.774,0.758,0.8480000000000001,gandalf,pred,none
auroc,1.0,1.0,1.0,gandalf,pred,none
sens,0.7674897119341564,0.75,0.8423469387755101,gandalf,pred,none
spec,0.5349794238683128,0.5,0.6846938775510204,gandalf,pred,none
ppv,0.6945945945945946,0.6807387862796834,0.8040126554835346,gandalf,pred,none
npv,1.0,1.0,1.0,gandalf,pred,none
f1,0.7584138264256791,0.738356881214024,0.8260526560483223,gandalf,pred,none
bal-acc,0.7674897119341564,0.75,0.8423469387755101,gandalf,pred,none
acc,0.982,0.982,0.992,gandalf,embed_lgbm,lgbm
