,cramer_v,H,H_p,mut_info
APOE_ε4__Dementia.0,0.0,30.785849999999748,2.881312190464106e-08,0.09234001224077804
APOE_ε4__Dementia.1,0.0,41.178216352574374,1.38962647935155e-10,0.09234001224077805
APOE_ε4,0.0,,,0.09234001224077805
Chronic_Health_Conditions__Dementia.0,0.0,23.043610675244228,1.5836793244011e-06,0.003471545761142447
Chronic_Health_Conditions__Dementia.1,0.0,28.815554148189022,7.960920392898253e-08,0.003471545761142447
Chronic_Health_Conditions,0.0,,,0.003471545761142447
Depression_Status__Dementia.0,0.0,70.21163129553348,5.3271407590884924e-17,0.2326575989030118
Depression_Status__Dementia.1,0.0,56.61566513397802,5.2988031244316235e-14,0.2326575989030118
Depression_Status,0.0,,,0.2326575989030118
Diabetic__Dementia.0,0.0,0.14389283656599675,0.7044412707947689,0.0001299081484885667
Diabetic__Dementia.1,0.0,0.2557808324395121,0.613033710885929,0.0001299081484885667
Diabetic,0.0,,,0.0001299081484885667
Dominant_Hand__Dementia.0,0.0,0.32436235073363145,0.568997750644153,0.00016658014466186533
Dominant_Hand__Dementia.1,0.0,2.114569120395004,0.14590311329506372,0.00016658014466186533
Dominant_Hand,0.0,,,0.00016658014466186533
Education_Level__Dementia.0,0.0,379.28088270957943,1.7845337373273579e-84,0.019442151044233524
Education_Level__Dementia.1,0.0,389.3284679924862,1.1589665726439638e-86,0.019442151044233524
Education_Level,0.0,,,0.019442151044233524
Family_History__Dementia.0,0.0,0.0640189685833458,0.8002529900088342,0.0019763923897327396
Family_History__Dementia.1,0.0,1.2947868663591822,0.2551676626624739,0.0019763923897327396
Family_History,0.0,,,0.0019763923897327396
Gender__Dementia.0,0.0,1.1548855758804075,0.28252875793824506,0.0014150236505633962
Gender__Dementia.1,0.0,0.03600562249941671,0.8495038817996837,0.0014150236505633962
Gender,0.0,,,0.0014150236505633962
Medication_History__Dementia.0,0.0,0.14389283656599675,0.7044412707947689,6.277021125100646e-09
Medication_History__Dementia.1,0.0,0.2557808324395121,0.613033710885929,6.277021125100646e-09
Medication_History,0.0,,,6.277021125100646e-09
Nutrition_Diet__Dementia.0,0.0,103.60177899410105,2.4735498866871352e-24,0.0006290291105364165
Nutrition_Diet__Dementia.1,0.0,114.73498716925772,8.99497913558849e-27,0.0006290291105364165
Nutrition_Diet,0.0,,,0.0006290291105364165
Physical_Activity__Dementia.0,0.0,77.7442336096082,1.172851747402665e-18,0.0010486429992738744
Physical_Activity__Dementia.1,0.0,88.15172186806153,6.0621583981097815e-21,0.0010486429992738744
Physical_Activity,0.0,,,0.0010486429992738744
Sleep_Quality__Dementia.0,0.0,0.14408653846137404,0.7042517698824,4.486586670077175e-05
Sleep_Quality__Dementia.1,0.0,1.5986302027489214,0.2060974390300642,4.486586670077175e-05
Sleep_Quality,0.0,,,4.486586670077175e-05
Smoking_Status__Dementia.0,0.0,340.3834486918283,5.2645643144880405e-76,0.07192995667718804
Smoking_Status__Dementia.1,0.0,354.89990413962494,3.6319253657593475e-79,0.07192995667718804
Smoking_Status,0.0,,,0.07192995667718804
