,cramer_v,H,H_p,mut_info
APOE_ε4__Dementia.0,0.0,16.297959183673434,5.4122209467721605e-05,0.06264690687072783
APOE_ε4__Dementia.1,0.0,22.469782433521242,2.134755311232501e-06,0.06264690687072783
APOE_ε4,0.0,,,0.06264690687072783
Chronic_Health_Conditions__Dementia.0,0.0,12.291854256905731,0.0004549395191014417,0.00011911856059523829
Chronic_Health_Conditions__Dementia.1,0.0,15.636574559218204,7.675555516610622e-05,0.00011911856059523829
Chronic_Health_Conditions,0.0,,,0.00011911856059523829
Depression_Status__Dementia.0,0.0,42.06555671175861,8.826421330678858e-11,0.2087866051506994
Depression_Status__Dementia.1,0.0,33.61564553741799,6.7150432463627535e-09,0.2087866051506994
Depression_Status,0.0,,,0.2087866051506994
Diabetic__Dementia.0,0.0,0.07246376811591274,0.7877827433834665,3.4688850046704633e-05
Diabetic__Dementia.1,0.0,0.20123587283531064,0.6537251289948282,3.4688850046704633e-05
Diabetic,0.0,,,3.4688850046704633e-05
Dominant_Hand__Dementia.0,0.0,0.008058870455588047,0.9284690255089512,0.00026275355138000167
Dominant_Hand__Dementia.1,0.0,0.6519194185649877,0.4194272721594432,0.00026275355138000167
Dominant_Hand,0.0,,,0.00026275355138000167
Education_Level__Dementia.0,0.0,215.4700260880818,8.801004761087987e-49,0.011127334583162007
Education_Level__Dementia.1,0.0,220.7813373257878,6.108792027584202e-50,0.011127334583162007
Education_Level,0.0,,,0.011127334583162007
Family_History__Dementia.0,0.0,0.2906635349382266,0.5897956349750828,3.4095226423280778e-06
Family_History__Dementia.1,0.0,1.5783822476737572,0.2089938716156515,3.4095226423280778e-06
Family_History,0.0,,,3.4095226423280778e-06
Medication_History__Dementia.0,0.0,0.39437100629241867,0.5300107171689545,0.00027455167875423125
Medication_History__Dementia.1,0.0,0.008054674151714012,0.9284876012842329,0.00027455167875423125
Medication_History,0.0,,,0.00027455167875423125
Nutrition_Diet__Dementia.0,0.0,46.84342797256299,7.68905141338168e-12,0.00037407795561611445
Nutrition_Diet__Dementia.1,0.0,53.072176901735084,3.215144563484358e-13,0.00037407795561611445
Nutrition_Diet,0.0,,,0.00037407795561611445
Physical_Activity__Dementia.0,0.0,45.36235763088352,1.637515311575918e-11,0.0070622664386925105
Physical_Activity__Dementia.1,0.0,51.73907676151977,6.338850308296509e-13,0.0070622664386925105
Physical_Activity,0.0,,,0.0070622664386925105
Prescription__Dementia.0,0.0,220.13576585609903,8.44830601929818e-50,0.6926267989248354
Prescription__Dementia.1,0.0,224.75719624670114,8.294055982054054e-51,0.6926267989248354
Prescription,0.0,,,0.6926267989248354
Sleep_Quality__Dementia.0,0.0,0.1288056206090494,0.7196736406485105,0.0020847885677364175
Sleep_Quality__Dementia.1,0.0,0.1288056206090494,0.7196736406485105,0.0020847885677364175
Sleep_Quality,0.0,,,0.0020847885677364175
Smoking_Status__Dementia.0,0.0,145.78000474383322,1.4502256987958311e-33,0.09104778152434173
Smoking_Status__Dementia.1,0.0,154.19243694331422,2.1021996646547963e-35,0.09104778152434173
Smoking_Status,0.0,,,0.09104778152434173
