,metric,trainset,holdout,5-fold,model,selection,embed_selector
0,acc,0.4959677419354839,0.5282258064516129,0.5762448979591837,dummy,none,none
1,auroc,0.5046875,0.5274614433526388,0.5696538461538461,dummy,none,none
2,sens,0.4953125,0.5286327845382963,0.5765512820512819,dummy,none,none
3,spec,0.475,0.5454545454545454,0.5863333333333334,dummy,none,none
4,ppv,0.5116279069767442,0.5416666666666666,0.5881787216990583,dummy,none,none
5,npv,0.4789915966386555,0.515625,0.5677859177859178,dummy,none,none
6,f1,0.49530306237077315,0.5282181357006975,0.5739831089626486,dummy,none,none
7,bal-acc,0.4953125,0.5286327845382963,0.5765512820512819,dummy,none,none
8,acc,0.5362903225806451,0.5201612903225806,0.43934693877551023,dummy,assoc,none
9,auroc,0.5,0.5,0.5,dummy,assoc,none
10,sens,0.5359375,0.5199778746664931,0.43943589743589745,dummy,assoc,none
11,spec,0.525,0.512396694214876,0.4133333333333333,dummy,assoc,none
12,ppv,0.5511811023622047,0.5317460317460317,0.4549739632348328,dummy,assoc,none
13,npv,0.5206611570247934,0.5081967213114754,0.4210146578567631,dummy,assoc,none
14,f1,0.5359205923033115,0.5199661673091625,0.4365022385406105,dummy,assoc,none
15,bal-acc,0.5359375,0.5199778746664931,0.43943589743589745,dummy,assoc,none
16,acc,0.4798387096774194,0.4838709677419355,0.4591836734693878,dummy,pred,none
17,auroc,0.5072916666666667,0.5400533610984577,0.5722307692307693,dummy,pred,none
18,sens,0.4786458333333333,0.4833734626146938,0.45983333333333337,dummy,pred,none
19,spec,0.44166666666666665,0.4628099173553719,0.4796666666666667,dummy,pred,none
20,ppv,0.49624060150375937,0.49612403100775193,0.47006545628284757,dummy,pred,none
21,npv,0.4608695652173913,0.47058823529411764,0.4490846560846561,dummy,pred,none
22,f1,0.47840547811200784,0.48333333333333334,0.4586336206723492,dummy,pred,none
23,bal-acc,0.4786458333333333,0.4833734626146938,0.45983333333333337,dummy,pred,none
24,acc,0.5161290322580645,0.5120967741935484,0.5120816326530612,dummy,embed_lgbm,lgbm
25,auroc,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
26,sens,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
27,spec,0.0,0.0,0.0,dummy,embed_lgbm,lgbm
28,ppv,0.5161290322580645,0.5120967741935484,0.5120816326530612,dummy,embed_lgbm,lgbm
29,npv,,,,dummy,embed_lgbm,lgbm
30,f1,0.3404255319148936,0.33866666666666667,0.33864390706495967,dummy,embed_lgbm,lgbm
31,bal-acc,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
32,acc,0.4959677419354839,0.4475806451612903,0.532,dummy,embed_linear,linear
33,auroc,0.5,0.5,0.5,dummy,embed_linear,linear
34,sens,0.49661458333333336,0.4475499446866662,0.5315641025641027,dummy,embed_linear,linear
35,spec,0.5166666666666667,0.4462809917355372,0.5046666666666667,dummy,embed_linear,linear
36,ppv,0.5126050420168067,0.4596774193548387,0.5444244596502661,dummy,embed_linear,linear
37,npv,0.4806201550387597,0.43548387096774194,0.5196770186335404,dummy,embed_linear,linear
38,f1,0.4959595466887794,0.4474997967314416,0.5293861091482883,dummy,embed_linear,linear
39,bal-acc,0.49661458333333336,0.4475499446866662,0.5315641025641027,dummy,embed_linear,linear
40,acc,0.5120967741935484,0.4596774193548387,0.5083265306122449,dummy,wrap,none
41,auroc,0.5276041666666667,0.5195874276046073,0.5606923076923077,dummy,wrap,none
42,sens,0.5111979166666667,0.4591657447777705,0.5078461538461538,dummy,wrap,none
43,spec,0.48333333333333334,0.4380165289256198,0.48,dummy,wrap,none
44,ppv,0.5267175572519084,0.4728682170542636,0.5227513227513227,dummy,wrap,none
45,npv,0.49572649572649574,0.44537815126050423,0.49241958041958045,dummy,wrap,none
46,f1,0.5111350048058909,0.4591145833333333,0.5068463332820933,dummy,wrap,none
47,bal-acc,0.5111979166666667,0.4591657447777705,0.5078461538461538,dummy,wrap,none
48,acc,0.9193548387096774,0.9153225806451613,0.7016326530612245,gandalf,none,none
49,auroc,0.9763671875,0.9786555606169063,0.9229666666666667,gandalf,none,none
50,sens,0.9182291666666667,0.9143944816815253,0.6998205128205128,gandalf,none,none
51,spec,0.8833333333333333,0.8760330578512396,0.7753333333333334,gandalf,none,none
52,ppv,0.8970588235294118,0.8897058823529411,0.8072085423316613,gandalf,none,none
53,npv,0.9464285714285714,0.9464285714285714,0.7739609258337482,gandalf,none,none
54,f1,0.91901776384535,0.9150116679449729,0.6480085035444917,gandalf,none,none
