,t,t_p,U,U_p,W,W_p,cohen_d,AUROC,corr,corr_p,mut_info
AlcoholLevel__Dementia.0,-0.5954676776926143,0.552080331550106,7361.0,0.5726430483847129,0.5634182923412461,0.5731500840085738,0.07565411036325817,0.5207682291666667,0.037933424809264336,0.5521294379518331,0.0
AlcoholLevel__Dementia.1,0.5954676776926143,0.552080331550106,7999.0,0.5726430483847129,-0.5634182923412461,0.5731500840085738,-0.07565411036325817,0.5207682291666667,-0.037933424809264336,0.5521294379518331,0.0
HeartRate__Dementia.0,0.8610804770181482,0.3900322601906441,8151.5,0.4039172711203658,-0.8340893084894634,0.4042306594517835,-0.10916005198540166,0.5306966145833334,-0.05469094974836994,0.39113283219142914,0.014716031015465703
HeartRate__Dementia.1,-0.8610804770181482,0.3900322601906441,7208.5,0.4039172711203658,0.8340893084894634,0.4042306594517835,0.10916005198540166,0.5306966145833333,0.05469094974836994,0.39113283219142914,0.014513998504965597
BloodOxygenLevel__Dementia.0,-1.7082242315763134,0.0888561903218458,6699.0,0.08242733085530855,1.745624135182866,0.08087628556170222,0.2166316392873112,0.5638671875,0.10806211385891117,0.08948084688136787,0.0
BloodOxygenLevel__Dementia.1,1.7082242315763134,0.0888561903218458,8661.0,0.08242733085530855,-1.745624135182866,0.08087628556170222,-0.2166316392873112,0.5638671875,-0.10806211385891117,0.08948084688136787,0.0
BodyTemperature__Dementia.0,3.0915677723665294,0.0022203932646159977,9345.0,0.0031947441043237474,-3.0073761118709306,0.002635135091792671,-0.3921376053460924,0.6083984375,-0.1930600723524118,0.002260127787782484,0.0642741901502375
BodyTemperature__Dementia.1,-3.0915677723665294,0.0022203932646159977,6015.0,0.0031947441043237474,3.0073761118709306,0.002635135091792671,0.3921376053460924,0.6083984375,0.1930600723524118,0.002260127787782484,0.0642741901502375
Weight__Dementia.0,-0.6991481997027337,0.485135072065619,7261.0,0.4585148688322144,0.7358799710605297,0.46180374731803364,0.0890887989258211,0.5272786458333333,0.04465723558705542,0.48389028867249223,0.0
Weight__Dementia.1,0.6991481997027337,0.485135072065619,8099.0,0.4585148688322144,-0.7358799710605297,0.46180374731803364,-0.0890887989258211,0.5272786458333334,-0.04465723558705542,0.48389028867249223,0.0
Age__Dementia.0,-1.0169561999822072,0.3101907979360617,7116.0,0.3178143929602917,0.9956741830611701,0.3194084778901185,0.12950332122849617,0.53671875,0.06484375461770539,0.30911903226045545,0.004199402706498656
Age__Dementia.1,1.0169561999822072,0.3101907979360617,8244.0,0.3178143929602917,-0.9956741830611701,0.3194084778901185,-0.12950332122849617,0.5367187499999999,-0.06484375461770539,0.30911903226045545,0.0071203751690982475
