,metric,trainset,holdout,5-fold,model,selection,embed_selector
0,acc,0.5161290322580645,0.5120967741935484,0.5120816326530612,dummy,none,none
1,auroc,0.5,0.5,0.5,dummy,none,none
2,sens,0.5,0.5,0.5,dummy,none,none
3,spec,0.0,0.0,0.0,dummy,none,none
4,ppv,0.5161290322580645,0.5120967741935484,0.5120816326530612,dummy,none,none
5,npv,,,,dummy,none,none
6,f1,0.3404255319148936,0.33866666666666667,0.33864390706495967,dummy,none,none
7,bal-acc,0.5,0.5,0.5,dummy,none,none
8,acc,0.5161290322580645,0.5120967741935484,0.5120816326530612,dummy,assoc,none
9,auroc,0.5,0.5,0.5,dummy,assoc,none
10,sens,0.5,0.5,0.5,dummy,assoc,none
11,spec,0.0,0.0,0.0,dummy,assoc,none
12,ppv,0.5161290322580645,0.5120967741935484,0.5120816326530612,dummy,assoc,none
13,npv,,,,dummy,assoc,none
14,f1,0.3404255319148936,0.33866666666666667,0.33864390706495967,dummy,assoc,none
15,bal-acc,0.5,0.5,0.5,dummy,assoc,none
16,acc,0.4798387096774194,0.5,0.47273469387755096,dummy,pred,none
17,auroc,0.5143229166666666,0.5040346196394871,0.5762307692307692,dummy,pred,none
18,sens,0.48098958333333336,0.5006832823583003,0.473423076923077,dummy,pred,none
19,spec,0.5166666666666667,0.5289256198347108,0.48900000000000005,dummy,pred,none
20,ppv,0.4956521739130435,0.5128205128205128,0.48481047937569677,dummy,pred,none
21,npv,0.46616541353383456,0.48854961832061067,0.4616296296296296,dummy,pred,none
22,f1,0.47962718977211727,0.49986989331251624,0.47258903561424564,dummy,pred,none
23,bal-acc,0.48098958333333336,0.5006832823583003,0.473423076923077,dummy,pred,none
24,acc,0.5161290322580645,0.5120967741935484,0.5120816326530612,dummy,embed_lgbm,lgbm
25,auroc,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
26,sens,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
27,spec,0.0,0.0,0.0,dummy,embed_lgbm,lgbm
28,ppv,0.5161290322580645,0.5120967741935484,0.5120816326530612,dummy,embed_lgbm,lgbm
29,npv,,,,dummy,embed_lgbm,lgbm
30,f1,0.3404255319148936,0.33866666666666667,0.33864390706495967,dummy,embed_lgbm,lgbm
31,bal-acc,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
32,acc,0.5161290322580645,0.5120967741935484,0.5120816326530612,dummy,embed_linear,linear
33,auroc,0.5,0.5,0.5,dummy,embed_linear,linear
34,sens,0.5,0.5,0.5,dummy,embed_linear,linear
35,spec,0.0,0.0,0.0,dummy,embed_linear,linear
36,ppv,0.5161290322580645,0.5120967741935484,0.5120816326530612,dummy,embed_linear,linear
37,npv,,,,dummy,embed_linear,linear
